state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	treeLikelihood	branchRates	coalescent
1000	-62588.24298446163	-2273.296166496777	-60314.94681796485	874.1468163710176	15047.007397076823	3402.2487777094757	6.926667670531546E-5	-60314.94681796485	0.0	-2260.7920996723788
2000	-60922.258742122016	-2228.2332340085427	-58694.025508113475	1060.8702965906289	14622.053496917912	2981.398881119531	6.926667670531546E-5	-58694.025508113475	0.0	-2215.9277792747107
3000	-60153.60583453496	-2198.376022286037	-57955.22981224892	1241.5997855328656	14639.237872657708	2358.1602144607364	6.926667670531546E-5	-57955.22981224892	0.0	-2186.4206174182896
4000	-59828.55299127152	-2188.731361239074	-57639.82163003245	1191.2634522963679	14507.712617129984	2367.901862388947	6.926667670531546E-5	-57639.82163003245	0.0	-2176.769832433655
5000	-59351.43183030189	-2167.6223792927767	-57183.80945100911	1254.073644522894	14586.998461130159	2023.9712935955342	6.926667670531546E-5	-57183.80945100911	0.0	-2155.893236415197
6000	-59084.271422670834	-2161.2684066249085	-56923.00301604593	1234.3461587297688	14713.963337961946	2214.3602539169183	6.926667670531546E-5	-56923.00301604593	0.0	-2149.4063337528746
7000	-58869.23278834953	-2148.1001378814744	-56721.132650468055	1211.971707689625	14403.865806661239	1924.1302219316196	6.926667670531546E-5	-56721.132650468055	0.0	-2136.4455721701406
8000	-58744.46669256229	-2147.9946448960363	-56596.47204766625	1267.966344183558	14825.591460752663	1974.8940076928925	6.926667670531546E-5	-56596.47204766625	0.0	-2136.3017094388065
9000	-58638.007595431525	-2136.654764068586	-56501.35283136294	1265.6410096413642	14590.739502584163	1820.2263214678874	6.926667670531546E-5	-56501.35283136294	0.0	-2125.0818529563962
10000	-58593.05901257759	-2140.609634298675	-56452.44937827892	1265.7528453801856	14726.215449289219	1645.5238924033429	6.926667670531546E-5	-56452.44937827892	0.0	-2129.184647244109
11000	-58527.11229841147	-2132.67416417052	-56394.43813424095	1265.374508397266	14723.158599499884	1750.2137976794631	6.926667670531546E-5	-56394.43813424095	0.0	-2121.1588300737158
12000	-58515.3396936862	-2132.779771361315	-56382.55992232488	1321.526015001607	14962.571564523843	1919.6895749177534	6.926667670531546E-5	-56382.55992232488	0.0	-2121.1286080746904
13000	-58490.23297060234	-2125.608993531267	-56364.62397707107	1343.5508873539657	14594.554040951443	1848.706545446443	6.926667670531546E-5	-56364.62397707107	0.0	-2114.01326546182
14000	-58496.982896640984	-2125.7182887045064	-56371.26460793648	1341.7335601253594	14613.237096332607	1903.9445509384261	6.926667670531546E-5	-56371.26460793648	0.0	-2114.0792502948525
15000	-58465.22854086386	-2129.918563339191	-56335.309977524674	1348.9740790689275	14945.699350953304	1852.473211392212	6.926667670531546E-5	-56335.309977524674	0.0	-2118.319842835717
16000	-58449.782910656206	-2123.975617982522	-56325.807292673686	1344.4752199330696	14683.818422499638	1837.097646293596	6.926667670531546E-5	-56325.807292673686	0.0	-2112.3891494821664
17000	-58442.08039345105	-2123.1694573718482	-56318.9109360792	1331.5398334624128	14702.577994095118	1804.0929202310078	6.926667670531546E-5	-56318.9109360792	0.0	-2111.6096236800317
18000	-58466.62704534306	-2124.8640791538787	-56341.762966189184	1364.79691369334	14708.342018839414	1797.2118863368228	6.926667670531546E-5	-56341.762966189184	0.0	-2113.309857188468
