state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	treeLikelihood	branchRates	coalescent
1000	-11624.636994109494	-2301.337012104428	-9323.299982005066	782.128005192552	14905.93598275587	3624.0717558920087	7.100957085520223E-5	-9323.299982005066	0.0	-2288.7375564163317
2000	-11347.199399529622	-2257.988365096376	-9089.211034433245	792.5340047642017	14039.630899938644	2900.021688113374	7.100957085520223E-5	-9089.211034433245	0.0	-2245.7243982817513
3000	-11180.205269357553	-2220.68558128323	-8959.519688074322	944.9236604525944	13839.807956994635	2460.717282746062	7.100957085520223E-5	-8959.519688074322	0.0	-2208.666886638362
4000	-11116.208160152122	-2215.8356407200736	-8900.372519432049	1061.0648979962284	14383.311438515655	2643.6030045041966	7.100957085520223E-5	-8900.372519432049	0.0	-2203.7101100005516
5000	-11044.936492882258	-2197.1029708135175	-8847.83352206874	980.1484769639144	14136.380435594878	2380.4199919605426	7.100957085520223E-5	-8847.83352206874	0.0	-2185.1336080135193
6000	-11041.731048262625	-2197.291244662672	-8844.439803599953	1027.2229019582014	14602.604273001716	2426.1106220965644	7.100957085520223E-5	-8844.439803599953	0.0	-2185.2936191881
7000	-11024.304382289112	-2191.8580441920085	-8832.446338097103	966.4320342570488	14512.886586345616	2375.691483187813	7.100957085520223E-5	-8832.446338097103	0.0	-2179.891635900777
8000	-10997.98715480109	-2193.101133333572	-8804.886021467519	1060.3082645237168	14798.499739389898	2288.7091552518796	7.100957085520223E-5	-8804.886021467519	0.0	-2181.190103325881
9000	-10985.800573394672	-2172.90636095146	-8812.894212443212	1007.1641247737853	13902.905188637667	1979.8871600751063	7.100957085520223E-5	-8812.894212443212	0.0	-2161.2097025893354
10000	-10961.553799626901	-2171.690549547972	-8789.86325007893	1019.0357276723253	14217.820626793893	2024.0245145580748	7.100957085520223E-5	-8789.86325007893	0.0	-2159.961367864227
11000	-10974.070495524873	-2178.674563901106	-8795.395931623767	1025.4217171798068	14825.840689545248	2055.9590756193097	7.100957085520223E-5	-8795.395931623767	0.0	-2166.9222714887815
12000	-10947.85882470024	-2153.2624929668154	-8794.596331733424	1014.241172739274	13394.971569108062	2006.5083558939612	7.100957085520223E-5	-8794.596331733424	0.0	-2141.5461362866226
13000	-10969.046269831531	-2165.0354394915075	-8804.010830340023	1048.2304914024455	14199.910170370411	2239.9551123043684	7.100957085520223E-5	-8804.010830340023	0.0	-2153.1563375860533
14000	-10974.404605511862	-2172.4497561782377	-8801.954849333624	1263.4455809052547	14944.301936917418	2151.703074523643	7.100957085520223E-5	-8801.954849333624	0.0	-2160.6301800603524
15000	-10975.403240683909	-2182.573007463859	-8792.83023322005	1132.7891806797734	15048.199836797361	2233.1449447011987	7.100957085520223E-5	-8792.83023322005	0.0	-2170.698418298636
16000	-10949.975074683482	-2155.5151585189356	-8794.459916164546	1026.4100954637531	14071.904961030385	2048.3918763601773	7.100957085520223E-5	-8794.459916164546	0.0	-2143.7683111758633
17000	-10939.359123435777	-2140.165506118799	-8799.193617316978	987.3042088377288	13281.863665047049	1926.2022310129023	7.100957085520223E-5	-8799.193617316978	0.0	-2128.5093554056034
18000	-10960.41380271738	-2163.5846730971707	-8796.829129620208	1126.5363672925678	14570.901550433337	2050.9221840011132	7.100957085520223E-5	-8796.829129620208	0.0	-2151.8360029001224
19000	-10945.656492945544	-2150.6961727943235	-8794.96032015122	1053.885844387242	13914.46956512529	1918.6607133297175	7.100957085520223E-5	-8794.96032015122	0.0	-2139.0457988969683
20000	-10950.96897827247	-2155.256269935334	-8795.712708337136	1104.8952007120752	13890.07242875129	2130.6255756961214	7.100957085520223E-5	-8795.712708337136	0.0	-2143.4512562596324
21000	-10934.58661689794	-2150.806271418435	-8783.780345479505	1049.6983950169642	13681.441475967467	2017.1439352901969	7.100957085520223E-5	-8783.780345479505	0.0	-2139.082114843237
22000	-10944.526421217895	-2161.7471174502602	-8782.779303767635	1046.5505322436868	14146.656274756915	2322.277756797758	7.100957085520223E-5	-8782.779303767635	0.0	-2149.8144805124202
