state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	treeLikelihood	branchRates	coalescent
1000	-47515.00104311374	-2285.5479334178326	-45229.45310969591	1185.4270326755106	15247.563747511396	3279.771206140293	6.989819176416958E-5	-45229.45310969591	0.0	-2273.099121925826
2000	-46168.203455067094	-2246.5334430548082	-43921.670012012284	1232.6323181565742	14676.390428945724	3198.2265012344465	6.989819176416958E-5	-43921.670012012284	0.0	-2234.122527917675
3000	-45607.94290701719	-2210.482730877931	-43397.46017613926	1465.574192239561	14743.02132594686	2463.3280514354838	6.989819176416958E-5	-43397.46017613926	0.0	-2198.462458284692
4000	-45292.11533456189	-2187.8561298895197	-43104.259204672366	1365.5384806838815	14289.170070206808	2502.510613012263	6.989819176416958E-5	-43104.259204672366	0.0	-2175.8123658798154
5000	-45150.95219663366	-2180.3732585414123	-42970.57893809225	1444.8112095723786	14532.75930593035	2235.221501349115	6.989819176416958E-5	-42970.57893809225	0.0	-2168.497291955915
6000	-45104.53100217937	-2180.4835794271876	-42924.047422752185	1383.7541651393667	14405.385481571768	2420.645873446516	6.989819176416958E-5	-42924.047422752185	0.0	-2168.489307287141
7000	-45053.63905658332	-2172.131227078325	-42881.507829505	1418.7495598089604	14415.957977147904	2231.046308414633	6.989819176416958E-5	-42881.507829505	0.0	-2160.2580312262457
8000	-45001.77458899336	-2172.699360251319	-42829.07522874204	1436.9351004999505	14749.497521908279	2053.861182475612	6.989819176416958E-5	-42829.07522874204	0.0	-2160.9485754778225
9000	-44979.45469871984	-2163.1419976038355	-42816.312701116	1397.916325315852	14321.6455261841	1946.269788094343	6.989819176416958E-5	-42816.312701116	0.0	-2151.4705799563526
10000	-44959.509597421114	-2165.3397351658105	-42794.1698622553	1422.3105371065094	14632.770602865608	1979.8907242002244	6.989819176416958E-5	-42794.1698622553	0.0	-2153.643074149479
11000	-44955.871213456354	-2160.865478604068	-42795.00573485228	1416.9834335374717	14555.445410543194	2116.4170390308623	6.989819176416958E-5	-42795.00573485228	0.0	-2149.0703596654166
12000	-44936.37927784025	-2161.3188713392274	-42775.06040650102	1427.5729431821005	14620.876901330716	2200.0380889561848	6.989819176416958E-5	-42775.06040650102	0.0	-2149.4664098838075
13000	-44948.24941353109	-2162.014903223316	-42786.234510307775	1492.4810960190239	14859.502275767618	2153.3986760995044	6.989819176416958E-5	-42786.234510307775	0.0	-2150.1941615590263
14000	-44913.11196882963	-2146.836991549788	-42766.27497727984	1577.1752825653539	14455.34274758137	2025.8379568436758	6.989819176416958E-5	-42766.27497727984	0.0	-2135.1064881747693
15000	-44900.77736714851	-2156.1580017094875	-42744.61936543902	1538.3194436124952	14792.11571024739	2073.4447235547605	6.989819176416958E-5	-42744.61936543902	0.0	-2144.393200345374
