state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	treeLikelihood	branchRates	coalescent
1000	-67398.12373468545	-2312.8595740560104	-65085.264160629435	399.3480566829111	15915.173183455809	3803.403792989349	6.44709180098108E-5	-65085.264160629435	0.0	-2300.187008450107
2000	-64698.12978419302	-2247.529257251127	-62450.6005269419	1185.9535009673295	15615.001377134482	3222.3246784089424	6.44709180098108E-5	-62450.6005269419	0.0	-2235.107047430015
3000	-63533.663803387346	-2230.680878063522	-61302.98292532383	1267.387510579795	15963.94286248334	2669.8101742431463	6.44709180098108E-5	-61302.98292532383	0.0	-2218.54062143106
4000	-63088.88081719101	-2211.710904914092	-60877.16991227692	1191.1831797830982	15345.318465845077	2440.1980103578235	6.44709180098108E-5	-60877.16991227692	0.0	-2199.704668249575
5000	-62931.202135619154	-2204.25534789962	-60726.946787719535	1280.2992592149885	15650.091434118496	2291.427614298475	6.44709180098108E-5	-60726.946787719535	0.0	-2192.3425568564435
6000	-62802.40423248333	-2201.0753252995796	-60601.32890718375	1277.7146342909664	15910.208962808189	2633.9823012417673	6.44709180098108E-5	-60601.32890718375	0.0	-2188.9552356131294
7000	-62615.530701442694	-2184.669032884915	-60430.86166855778	1359.2999594917544	15655.141764343674	2364.9002774769106	6.44709180098108E-5	-60430.86166855778	0.0	-2172.7093884033984
8000	-62487.66834716731	-2182.450206463614	-60305.2181407037	1354.654684613421	15912.208015195143	2120.5435196528074	6.44709180098108E-5	-60305.2181407037	0.0	-2170.652207329932
9000	-62447.20191407968	-2173.150200045941	-60274.05171403373	1364.1384633413518	15531.96523398965	2076.9409765853366	6.44709180098108E-5	-60274.05171403373	0.0	-2161.3829096426475
10000	-62354.52428396556	-2169.2229963802642	-60185.301287585295	1391.106460066793	15639.85353404224	1993.803189520914	6.44709180098108E-5	-60185.301287585295	0.0	-2157.516009449233
11000	-62334.20761199692	-2170.7029486883853	-60163.50466330854	1355.8478320616264	15879.385863572104	2012.291587478468	6.44709180098108E-5	-60163.50466330854	0.0	-2158.9823458186547
12000	-62202.85171606341	-2159.703431265989	-60043.14828479742	1373.8009806881646	15567.709229960577	2189.2399848524988	6.44709180098108E-5	-60043.14828479742	0.0	-2147.8582559834076
13000	-62186.27351453838	-2158.6387251647648	-60027.63478937361	1394.4425434648506	15673.346206793087	2127.3842227044424	6.44709180098108E-5	-60027.63478937361	0.0	-2146.8359631712515
14000	-62138.24077776404	-2152.4764937037667	-59985.76428406027	1416.8014343806644	15600.798930780911	2113.8536572649614	6.44709180098108E-5	-59985.76428406027	0.0	-2140.6831666600956
15000	-62146.37998646667	-2161.2925877543294	-59985.08739871234	1408.9151052556508	16185.472875573621	2056.7076236315424	6.44709180098108E-5	-59985.08739871234	0.0	-2149.5397577588888
