state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	treeLikelihood	branchRates	coalescent
1000	-11768.543433948593	-2336.170832323413	-9432.37260162518	486.4824784160139	16361.947431871979	4521.913072617251	6.212018906144497E-5	-9432.37260162518	0.0	-2323.2351378188705
2000	-11417.661068008216	-2275.4939352482397	-9142.167132759976	773.620530128802	15837.003157803425	3401.9542025061337	6.212018906144497E-5	-9142.167132759976	0.0	-2262.989999018354
3000	-11248.065146968556	-2260.50214165824	-8987.563005310316	805.7691859862084	15705.423781006284	2951.6400936037653	6.212018906144497E-5	-8987.563005310316	0.0	-2248.2117313229896
4000	-11167.188366420049	-2255.3103718826897	-8911.877994537359	930.9581128197322	16397.83406512146	3287.2633210970935	6.212018906144497E-5	-8911.877994537359	0.0	-2242.8581240013605
5000	-11024.79303317617	-2209.2290865536497	-8815.56394662252	864.0445482742914	15133.852686549824	2268.0108357393883	6.212018906144497E-5	-8815.56394662252	0.0	-2197.331531132856
6000	-11063.601253470944	-2244.7516147271954	-8818.849638743748	974.3459389856922	17760.952084051114	2824.0292911005226	6.212018906144497E-5	-8818.849638743748	0.0	-2232.527410481429
7000	-10986.210689533727	-2223.4803404429313	-8762.730349090796	977.4321220677473	17165.24477251858	2607.04985250388	6.212018906144497E-5	-8762.730349090796	0.0	-2211.375584405868
8000	-10954.012896692062	-2213.897862353398	-8740.115034338663	1082.3202507778838	17122.84799997672	2536.3117151621827	6.212018906144497E-5	-8740.115034338663	0.0	-2201.8341147116844
9000	-10935.57079830128	-2197.5374779163103	-8738.03332038497	914.067387351525	15982.233434410171	2227.9869169246094	6.212018906144497E-5	-8738.03332038497	0.0	-2185.6663154863913
10000	-10947.743935297836	-2214.5802459302486	-8733.163689367588	926.768093420845	16455.54945384112	2664.673851887161	6.212018906144497E-5	-8733.163689367588	0.0	-2202.4428644731033
11000	-10929.811535490546	-2212.419867781188	-8717.391667709358	935.3617850211526	16792.793962752512	2401.760468630065	6.212018906144497E-5	-8717.391667709358	0.0	-2200.4372403959856
12000	-10937.100299967915	-2205.5348474704997	-8731.565452497416	1011.8671340466861	16726.788465495887	2513.710141710788	6.212018906144497E-5	-8731.565452497416	0.0	-2193.4844336643223
