state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	treeLikelihood	branchRates	coalescent
1000	-47075.31841988507	-2298.093250828639	-44777.22516905643	1324.737095225563	17567.585395316564	3332.097008922002	5.829425928272716E-5	-44777.22516905643	0.0	-2285.6205947458006
2000	-45775.12599078142	-2267.296674359829	-43507.82931642159	1399.7963451440833	17621.886757524717	3509.5410027006715	5.829425928272716E-5	-43507.82931642159	0.0	-2254.745747922779
3000	-45223.29533599244	-2230.258241147739	-42993.0370948447	1621.892855994724	17670.473493946894	2677.067654143081	5.829425928272716E-5	-42993.0370948447	0.0	-2218.113930994814
4000	-44936.61284831696	-2206.078325658287	-42730.53452265867	1766.0760667309612	17724.20698595697	2357.1595370718587	5.829425928272716E-5	-42730.53452265867	0.0	-2194.1235512229614
5000	-44674.84019404788	-2183.047080714651	-42491.79311333323	1715.567173192034	17121.74217157293	2090.6952896679195	5.829425928272716E-5	-42491.79311333323	0.0	-2171.2700371813708
6000	-44531.94675638643	-2182.1850395946376	-42349.76171679179	1745.2320242180967	17396.08823945295	2416.774002901798	5.829425928272716E-5	-42349.76171679179	0.0	-2170.193147743377
7000	-44477.14595783053	-2174.867627053777	-42302.27833077675	1663.4623021286639	17160.13774123133	2100.014164513847	5.829425928272716E-5	-42302.27833077675	0.0	-2163.0840104022755
8000	-44468.44229172983	-2179.9534844439995	-42288.48880728583	1691.2639443034445	17466.98138369083	2217.8476940057744	5.829425928272716E-5	-42288.48880728583	0.0	-2168.0890802121244
9000	-44456.171296691624	-2173.704662090757	-42282.46663460087	1693.2206071152227	17253.573720625085	2073.8531667385673	5.829425928272716E-5	-42282.46663460087	0.0	-2161.939569742055
10000	-44444.736047609375	-2179.727042675103	-42265.00900493427	1732.7730289435078	17612.53127406738	2073.0924656568254	5.829425928272716E-5	-42265.00900493427	0.0	-2167.962492311942
11000	-44414.23104770113	-2172.4353074590204	-42241.79574024211	1687.5206520345387	17353.069737938495	2249.3164099655464	5.829425928272716E-5	-42241.79574024211	0.0	-2160.55002371453
12000	-44394.49646279562	-2176.172873955522	-42218.3235888401	1664.1887416442114	17302.87055749192	2270.9682124682936	5.829425928272716E-5	-42218.3235888401	0.0	-2164.27338609013
13000	-44375.72499706596	-2169.9383822410127	-42205.786614824945	1744.1090799727049	17275.49800319443	2177.230373614334	5.829425928272716E-5	-42205.786614824945	0.0	-2158.1013511539145
14000	-44353.247718366896	-2164.1524932743264	-42189.09522509257	1803.469859368786	17200.112947843067	2253.3624389450692	5.829425928272716E-5	-42189.09522509257	0.0	-2152.264545312484
15000	-44363.463467480295	-2173.6375469721706	-42189.82592050813	1820.3499636433312	17808.464920448907	2192.444917393058	5.829425928272716E-5	-42189.82592050813	0.0	-2161.7902055306545
16000	-44360.607619088645	-2169.3924970530848	-42191.21512203556	1804.270786865874	17834.845098672482	2208.714272050832	5.829425928272716E-5	-42191.21512203556	0.0	-2157.5342059957566
17000	-44322.37749765852	-2163.808245121939	-42158.56925253658	1774.3735323125784	17445.56595471438	2084.505102557753	5.829425928272716E-5	-42158.56925253658	0.0	-2152.0355833982057
18000	-44331.7529360582	-2164.686072239051	-42167.06686381915	1792.2283812236585	17659.363187725798	2133.022217010448	5.829425928272716E-5	-42167.06686381915	0.0	-2152.879395788726
19000	-44331.90486407129	-2168.562820903944	-42163.34204316735	1690.0675872231627	17508.45863262689	2148.1557109456153	5.829425928272716E-5	-42163.34204316735	0.0	-2156.745686070616
20000	-44318.654828791165	-2157.0089172793323	-42161.645911511834	1751.9936085245772	17096.247570086085	1974.8285214517061	5.829425928272716E-5	-42161.645911511834	0.0	-2145.3160307086396
21000	-44306.72181965915	-2155.8169933112995	-42150.90482634785	1640.5932538203886	16874.210181064398	2041.9122088714348	5.829425928272716E-5	-42150.90482634785	0.0	-2144.074823822715
22000	-44303.724846519704	-2156.9567352412237	-42146.76811127848	1794.7989653928842	17468.280922648606	1940.477152252474	5.829425928272716E-5	-42146.76811127848	0.0	-2145.2897089638
23000	-44309.812600255456	-2156.9750953162934	-42152.83750493916	1773.0071511434749	17265.40184501348	2007.3044814260734	5.829425928272716E-5	-42152.83750493916	0.0	-2145.2581534062188
24000	-44299.43243319539	-2154.074731824839	-42145.35770137055	1774.6355108196653	17244.81704813898	2082.5186681624477	5.829425928272716E-5	-42145.35770137055	0.0	-2142.3034788676136
25000	-44308.09852454976	-2160.8901399850984	-42147.208384564656	1700.0945210277496	17652.68762377157	1976.429296217936	5.829425928272716E-5	-42147.208384564656	0.0	-2149.196058854766
26000	-44298.48939216826	-2159.625458695479	-42138.86393347278	1682.103945297958	17354.074546433076	2160.11500166603	5.829425928272716E-5	-42138.86393347278	0.0	-2147.8001088891865
27000	-44297.900230794476	-2161.2105856528	-42136.689645141676	1766.97165640401	17751.169704487806	2038.251179392377	5.829425928272716E-5	-42136.689645141676	0.0	-2149.4710654535256
28000	-44288.642221648166	-2161.0860204136598	-42127.5562012345	1760.6489234332735	17561.04026770115	2196.9579248595787	5.829425928272716E-5	-42127.5562012345	0.0	-2149.2356338444442
29000	-44288.087552103185	-2150.462875469676	-42137.62467663351	1739.6769576583697	17204.618944227175	1974.4115657460957	5.829425928272716E-5	-42137.62467663351	0.0	-2138.770300199567
30000	-44290.782536542145	-2161.2931859761393	-42129.48935056601	1763.5987485098417	17544.43306358981	2268.6460602194843	5.829425928272716E-5	-42129.48935056601	0.0	-2149.395215275888
31000	-44297.14415959731	-2169.6002774441954	-42127.54388215311	1866.0989707896751	18182.20791333918	1839.473057812354	5.829425928272716E-5	-42127.54388215311	0.0	-2158.0119097017514
32000	-44273.90244679981	-2157.2266877252255	-42116.675759074584	1741.3071725274765	17421.350295545202	1967.0192024540706	5.829425928272716E-5	-42116.675759074584	0.0	-2145.5396420966717
33000	-44276.08946496421	-2155.8985619265463	-42120.19090303766	1756.7720918116406	17251.430330848125	2085.03223495287	5.829425928272716E-5	-42120.19090303766	0.0	-2144.1255265797668
34000	-44273.91733013763	-2160.836601452041	-42113.080728685585	1799.151466943806	17654.21468973472	2073.610294841019	5.829425928272716E-5	-42113.080728685585	0.0	-2149.07168212441
35000	-44273.869496635	-2165.9323587755525	-42107.93713785945	1684.3337636265032	17611.19663769036	1942.3331193620243	5.829425928272716E-5	-42107.93713785945	0.0	-2154.263924133076
36000	-44273.422521953726	-2162.0742629677484	-42111.34825898598	1776.4154430156614	17679.544930474825	1876.5275416057666	5.829425928272716E-5	-42111.34825898598	0.0	-2150.456568757236
37000	-44281.89800468299	-2164.906550981468	-42116.99145370152	1738.203605965442	17638.765921398644	1750.696869891878	5.829425928272716E-5	-42116.99145370152	0.0	-2153.3908121128175
38000	-44278.214425654194	-2153.3834702406325	-42124.83095541356	1797.7565332926124	17466.4714938495	1882.7499472750737	5.829425928272716E-5	-42124.83095541356	0.0	-2141.7609058022213
39000	-44273.64482016401	-2160.584571105647	-42113.06024905836	1832.5064386566446	17732.967170074713	2248.091916740049	5.829425928272716E-5	-42113.06024905836	0.0	-2148.7000945667414
40000	-44264.741366684284	-2155.6824952630645	-42109.05887142122	1721.5866124635927	17526.23103680946	2048.0852055333057	5.829425928272716E-5	-42109.05887142122	0.0	-2143.9358689946203
41000	-44268.894260572844	-2157.9142615948963	-42110.97999897795	1731.4262597871148	17743.448795914977	2066.763640020956	5.829425928272716E-5	-42110.97999897795	0.0	-2146.154227801952
42000	-44260.93442163913	-2154.897266502031	-42106.0371551371	1710.4158521854451	17532.046754454033	1960.727464412854	5.829425928272716E-5	-42106.0371551371	0.0	-2143.214942923373
43000	-44253.17427111862	-2148.022373328089	-42105.151897790536	1707.3742089957395	17052.727572077503	2088.4422706317077	5.829425928272716E-5	-42105.151897790536	0.0	-2136.2469231855666
44000	-44260.33087878809	-2159.8140845296925	-42100.516794258394	1756.6115162787173	17666.236812056635	1790.3525404802817	5.829425928272716E-5	-42100.516794258394	0.0	-2148.265477114903
45000	-44262.91529728686	-2154.1762183691503	-42108.73907891771	1704.6838708353553	17378.224652944722	1986.3025932645724	5.829425928272716E-5	-42108.73907891771	0.0	-2142.4747898217647
46000	-44250.07562432812	-2157.5251914603978	-42092.55043286773	1722.7297853095233	17567.87871749268	2097.1679016129788	5.829425928272716E-5	-42092.55043286773	0.0	-2145.7435794676476
47000	-44259.10773081423	-2152.2747497658256	-42106.8329810484	1655.9801696202667	17103.46672536259	1938.854772438437	5.829425928272716E-5	-42106.8329810484	0.0	-2140.6089556572006
48000	-44259.975245407055	-2156.2268212759527	-42103.7484241311	1741.695402264667	17711.691935469622	1840.081038409454	5.829425928272716E-5	-42103.7484241311	0.0	-2144.6379678047206
49000	-44263.93737364893	-2149.5252131279635	-42114.412160520966	1708.9963144718463	17249.69642649413	2081.3096272558037	5.829425928272716E-5	-42114.412160520966	0.0	-2137.754818244931
50000	-44268.88911704581	-2155.0058866415334	-42113.88323040427	1809.909714703424	17879.840471623324	1942.981081307699	5.829425928272716E-5	-42113.88323040427	0.0	-2143.3369606090278
51000	-44259.708032207374	-2150.627955125433	-42109.08007708194	1748.2878203725368	17364.405790672216	1904.4411721105632	5.829425928272716E-5	-42109.08007708194	0.0	-2138.988532815285
52000	-44254.17188538511	-2148.2076414910166	-42105.964243894094	1788.8841242617405	17498.20838155834	2065.2115445524055	5.829425928272716E-5	-42105.964243894094	0.0	-2136.4487173743346
53000	-44279.42806007808	-2150.719613470002	-42128.70844660808	1704.279637054188	17445.19227161663	2002.8033816935197	5.829425928272716E-5	-42128.70844660808	0.0	-2139.0059832357265
54000	-44263.175806339874	-2149.700163986343	-42113.47564235353	1789.1297561905162	17435.156321271825	1909.196384492418	5.829425928272716E-5	-42113.47564235353	0.0	-2138.057070624578
