state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	treeLikelihood	branchRates	coalescent
1000	-76348.89094827778	-2310.5840593428607	-74038.30688893492	1476.0349721773837	19068.037529260357	3774.3438103850003	5.581846863244752E-5	-74038.30688893492	0.0	-2297.923113484393
2000	-72836.99083550625	-2241.573728078617	-70595.41710742764	1600.7125195448036	18091.79618131557	2977.114260120953	5.581846863244752E-5	-70595.41710742764	0.0	-2229.270430520408
3000	-71700.0877007478	-2211.350022703702	-69488.7376780441	1885.094169406979	18571.688477874715	2443.5448368123075	5.581846863244752E-5	-69488.7376780441	0.0	-2199.341747228376
4000	-71099.743030313	-2178.604544537703	-68921.13848577529	1927.8146121252619	18157.361291542315	2102.390398837615	5.581846863244752E-5	-68921.13848577529	0.0	-2166.819256266532
5000	-70764.90019156014	-2164.7017386682446	-68600.1984528919	1969.9806871153855	18148.90864573224	2065.800822169126	5.581846863244752E-5	-68600.1984528919	0.0	-2152.942393151379
6000	-70673.40634616456	-2158.59640707501	-68514.80993908955	1992.503390461517	18162.147087323836	2179.1598922572402	5.581846863244752E-5	-68514.80993908955	0.0	-2146.7580646078295
7000	-70594.22670596562	-2157.114409487362	-68437.11229647826	1992.398286364821	18368.448591215812	2115.362832663113	5.581846863244752E-5	-68437.11229647826	0.0	-2145.320027224665
8000	-70545.1938232847	-2157.150468394937	-68388.04335488977	1966.3679571864247	18433.25977731248	2024.9472590720388	5.581846863244752E-5	-68388.04335488977	0.0	-2145.420614045595
9000	-70501.65975472194	-2151.8779801205687	-68349.78177460138	1922.9474062891854	18135.872852271914	1839.9787421235226	5.581846863244752E-5	-68349.78177460138	0.0	-2140.2892083652882
10000	-70453.38302206658	-2142.457435184145	-68310.92558688244	2008.9497368693706	18051.908160960433	2125.262580743898	5.581846863244752E-5	-68310.92558688244	0.0	-2130.6561488191
11000	-70402.1628907946	-2143.2319576843015	-68258.9309331103	1951.8490337987723	18111.440236642684	1954.575273297564	5.581846863244752E-5	-68258.9309331103	0.0	-2131.5542654750598
12000	-70403.90683155243	-2144.3795533945645	-68259.52727815787	1968.9529940025586	18228.500125734194	2003.4632991526646	5.581846863244752E-5	-68259.52727815787	0.0	-2132.665437181633
13000	-70389.05489304359	-2139.654455203147	-68249.40043784045	2055.104624084604	18204.71989683315	1920.7671527008035	5.581846863244752E-5	-68249.40043784045	0.0	-2128.002465584205
14000	-70394.10951254751	-2140.914178453376	-68253.19533409414	2088.380491016167	18320.731906675872	1968.5550277195478	5.581846863244752E-5	-68253.19533409414	0.0	-2129.2259823597365
15000	-70387.87059520246	-2148.957631172879	-68238.91296402959	2017.67008649315	18671.864260368588	2025.6197385728237	5.581846863244752E-5	-68238.91296402959	0.0	-2137.227286781918
16000	-70386.8154833193	-2145.6649648214725	-68241.15051849783	2028.1033229225009	18287.81864233393	2031.4367900568516	5.581846863244752E-5	-68241.15051849783	0.0	-2133.930387985732
17000	-70363.72260119188	-2139.503381156944	-68224.21922003494	2082.8065273127586	18293.26329917544	1930.252010932553	5.581846863244752E-5	-68224.21922003494	0.0	-2127.8441372367606
18000	-70369.3053425796	-2145.5593649944685	-68223.74597758513	2077.42426101877	18527.837538948217	1911.9770197442135	5.581846863244752E-5	-68223.74597758513	0.0	-2133.914129020741
19000	-70347.00371310141	-2141.9551721125863	-68205.04854098882	2026.5833292388115	18364.00661785813	1806.9505175124896	5.581846863244752E-5	-68205.04854098882	0.0	-2130.3930139692757
20000	-70330.9219646518	-2143.490029559217	-68187.43193509258	2078.517372514483	18449.577035522616	1929.648627668771	5.581846863244752E-5	-68187.43193509258	0.0	-2131.831246106757
21000	-70352.1639311429	-2143.41644174143	-68208.74748940147	1982.887899333249	18191.65097322852	1892.0715066183693	5.581846863244752E-5	-68208.74748940147	0.0	-2131.7866101537597
22000	-70329.99722083575	-2140.7205508800475	-68189.2766699557	2086.0014386562552	18283.13726656076	1923.3669572157116	5.581846863244752E-5	-68189.2766699557	0.0	-2129.0665694468253
23000	-70332.08564554705	-2139.5784747515054	-68192.50717079555	2091.5449715929626	18327.689616276948	1873.8375403803984	5.581846863244752E-5	-68192.50717079555	0.0	-2127.9628907728797
