state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	treeLikelihood	branchRates	coalescent
1000	-10939.188856676587	-2366.5886496085313	-8572.600207068055	1524.4325126904537	22860.668026628726	4810.582197841832	4.765851636966432E-5	-8572.600207068055	0.0	-2353.5583993565206
2000	-10571.127644075721	-2285.529966834033	-8285.597677241689	3133.5049633834674	21954.226498817738	3740.7200111537436	4.765851636966432E-5	-8285.597677241689	0.0	-2272.8825731023817
3000	-10503.296360788634	-2278.991547011391	-8224.304813777244	3185.7598220356736	22032.419011585516	3367.559864649525	4.765851636966432E-5	-8224.304813777244	0.0	-2266.502933893409
4000	-10490.760341992525	-2270.978157016735	-8219.78218497579	3394.883009214083	22419.75277128786	3021.6538816067878	4.765851636966432E-5	-8219.78218497579	0.0	-2258.6525789716216
5000	-10431.929565120168	-2251.635440592027	-8180.294124528141	2885.953103323834	21000.05948833336	2799.1765260402353	4.765851636966432E-5	-8180.294124528141	0.0	-2239.4244631508373
6000	-10428.30931714006	-2256.219334208798	-8172.089982931262	3093.3690831373547	21875.86821058848	3092.291644114398	4.765851636966432E-5	-8172.089982931262	0.0	-2243.8590577070267
7000	-10395.490731152131	-2251.540667647619	-8143.9500635045115	2904.4273061750205	21274.266115013994	2879.1642797665727	4.765851636966432E-5	-8143.9500635045115	0.0	-2239.2875140030114
8000	-10394.144014695234	-2256.833521073634	-8137.3104936216	3383.1361516868524	22750.545775854654	2842.292520061612	4.765851636966432E-5	-8137.3104936216	0.0	-2244.599667927464
9000	-10354.476779270615	-2249.1062675721982	-8105.370511698417	3346.0927589005555	22502.94793853638	2697.011730366074	4.765851636966432E-5	-8105.370511698417	0.0	-2236.950872041698
10000	-10333.950028685973	-2240.3305206932346	-8093.619507992737	3223.0944906903615	21589.8724548037	3075.325998853798	4.765851636966432E-5	-8093.619507992737	0.0	-2227.97850815904
11000	-10334.731847465402	-2253.3557982270167	-8081.376049238385	3036.5907432162276	22254.498058651763	3099.2945942101173	4.765851636966432E-5	-8081.376049238385	0.0	-2240.992123250878
12000	-10285.164116959106	-2233.813357045829	-8051.350759913276	3247.2040141630637	21795.62957261959	2929.6303813633294	4.765851636966432E-5	-8051.350759913276	0.0	-2221.5341674080055
13000	-10279.765858829738	-2232.0206197202488	-8047.74523910949	3376.9012364897435	22349.35210593414	2867.5240744044786	4.765851636966432E-5	-8047.74523910949	0.0	-2219.773533424353
14000	-10197.665198546809	-2221.917791388729	-7975.74740715808	3863.8753452235887	22916.269863602003	2774.811157297316	4.765851636966432E-5	-7975.74740715808	0.0	-2209.7198910530497
15000	-10187.037054025353	-2237.0338033565986	-7950.003250668755	3498.8095911362802	23228.266747246977	2798.653293533127	4.765851636966432E-5	-7950.003250668755	0.0	-2224.823105590975
16000	-10176.171715063247	-2234.1209948053297	-7942.050720257917	3369.0700153239404	22716.475328916265	2762.7688621856973	4.765851636966432E-5	-7942.050720257917	0.0	-2221.929598357016
17000	-10151.01862086412	-2218.1434825174165	-7932.875138346704	3316.775804776583	21745.223405863668	2666.1958690977635	4.765851636966432E-5	-7932.875138346704	0.0	-2206.005248522684
18000	-10089.270613262082	-2206.8672504545484	-7882.403362807534	3899.307836404665	23087.77979496782	2482.717871247615	4.765851636966432E-5	-7882.403362807534	0.0	-2194.8353085446997
19000	-10079.058896698702	-2198.708395367828	-7880.350501330873	3260.5579964459325	21439.789642519412	2270.6821226291277	4.765851636966432E-5	-7880.350501330873	0.0	-2186.8090943373472
20000	-10082.210089527143	-2204.413087338291	-7877.797002188851	3466.5578671474213	22136.620462007293	2431.197560988833	4.765851636966432E-5	-7877.797002188851	0.0	-2192.4123468610665
21000	-10078.908437856613	-2204.4646537532135	-7874.4437841034	3386.526694316534	21945.97201985357	2533.814204395339	4.765851636966432E-5	-7874.4437841034	0.0	-2192.4023739152967
22000	-10071.266684995466	-2205.5306460435386	-7865.736038951926	3385.592126539414	22023.588818681346	2698.3072023493028	4.765851636966432E-5	-7865.736038951926	0.0	-2193.374533179122
23000	-10059.266446695328	-2192.3786033460847	-7866.887843349244	3506.8961979916594	21837.612126994503	2505.7313302001207	4.765851636966432E-5	-7866.887843349244	0.0	-2180.3329240977127
24000	-10051.545764570608	-2196.0696263879804	-7855.476138182628	3716.3121813916605	22751.835604646254	2294.98210823855	4.765851636966432E-5	-7855.476138182628	0.0	-2184.154535737058
25000	-10032.849057468724	-2180.656459391627	-7852.192598077097	3536.2273480452286	21685.169888989883	2016.740730782215	4.765851636966432E-5	-7852.192598077097	0.0	-2168.9325977985714
26000	-10041.986903616791	-2193.078790244987	-7848.908113371805	3484.012944859342	21938.19011234444	2537.81494860688	4.765851636966432E-5	-7848.908113371805	0.0	-2181.01415981032
27000	-10036.81542229223	-2190.5762665979278	-7846.239155694301	3677.6540183551133	22199.738618464733	2118.687598448446	4.765851636966432E-5	-7846.239155694301	0.0	-2178.77956219266
28000	-10049.407300806366	-2200.405403060305	-7849.001897746061	3821.028356337523	23100.86531522772	2398.24187316935	4.765851636966432E-5	-7849.001897746061	0.0	-2188.4249549334104
29000	-10055.962791563008	-2207.3232543305985	-7848.639537232409	3449.6595069374616	22865.021350308634	2666.8827966850113	4.765851636966432E-5	-7848.639537232409	0.0	-2195.184635715273
30000	-10017.908022485391	-2189.8940959702804	-7828.013926515111	3443.51215558595	22167.212624337353	2266.689981220965	4.765851636966432E-5	-7828.013926515111	0.0	-2177.9974044179485
31000	-10003.51351585424	-2184.1174143385433	-7819.396101515697	3806.52327815973	22673.31515846216	2164.5082164479854	4.765851636966432E-5	-7819.396101515697	0.0	-2172.289057719077
32000	-9985.08233550825	-2166.8983988346117	-7818.183936673638	3265.213320566638	20861.55558526702	2394.5362176214057	4.765851636966432E-5	-7818.183936673638	0.0	-2154.920249136499
33000	-9980.653252050037	-2160.7549161985626	-7819.898335851475	3658.980356968013	21717.655927736036	2149.6292525004333	4.765851636966432E-5	-7819.898335851475	0.0	-2148.936766810053
34000	-9985.083278610724	-2179.526142603717	-7805.557136007006	3716.095312877464	22614.772498636692	2207.7638653017702	4.765851636966432E-5	-7805.557136007006	0.0	-2167.6684890620936
35000	-9991.515665526744	-2164.7164946747075	-7826.799170852037	3231.409011754476	20388.440992935517	1986.1653263328094	4.765851636966432E-5	-7826.799170852037	0.0	-2153.015168037377
36000	-9989.140434377732	-2173.2136852516905	-7815.9267491260425	3823.6972701090262	22236.20488671299	2182.537978533597	4.765851636966432E-5	-7815.9267491260425	0.0	-2161.3730495740165
37000	-10005.299426181555	-2180.9967338998094	-7824.302692281746	3656.6245446711428	22022.304473762764	1880.6660533484944	4.765851636966432E-5	-7824.302692281746	0.0	-2169.3757987900644
38000	-10002.247575523646	-2181.5663945992414	-7820.681180924405	3851.0254598622314	22749.248801533606	2388.390795660725	4.765851636966432E-5	-7820.681180924405	0.0	-2169.5920641138373
39000	-10010.021368803109	-2179.8298341878603	-7830.191534615249	3658.587062391748	22132.46893199271	2419.8056399027287	4.765851636966432E-5	-7830.191534615249	0.0	-2167.8360782835935
