state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	treeLikelihood	branchRates	coalescent
1000	-46391.67728594913	-2353.7932405314887	-44037.884045417646	2421.588350446338	22949.527856496694	4305.9864699231675	4.82584976919849E-5	-44037.884045417646	0.0	-2340.932138816403
2000	-44421.85152947416	-2297.922847166199	-42123.92868230796	2563.59038099982	21106.123991814795	3637.75978314503	4.82584976919849E-5	-42123.92868230796	0.0	-2285.317690215805
3000	-43632.56893359207	-2272.283552300792	-41360.28538129128	2676.5650593892838	20943.824856449697	3166.75772870334	4.82584976919849E-5	-41360.28538129128	0.0	-2259.8875098440494
4000	-43155.987197257986	-2261.8242323252343	-40894.16296493275	2902.6089490742356	22106.914687435947	3156.6913539458587	4.82584976919849E-5	-40894.16296493275	0.0	-2249.4329773234767
5000	-42825.817741904146	-2237.414392623501	-40588.40334928065	2945.4139323442014	21265.852693392877	2609.6794239932865	4.82584976919849E-5	-40588.40334928065	0.0	-2225.308132803759
6000	-42726.748635683	-2231.8891995420317	-40494.85943614096	2832.095880355725	21248.283509194393	2964.1452356573172	4.82584976919849E-5	-40494.85943614096	0.0	-2219.592449670354
7000	-42578.90073434015	-2222.30399346704	-40356.596740873116	2970.5754670691385	21342.472280074217	2758.669096612185	4.82584976919849E-5	-40356.596740873116	0.0	-2210.114817448434
8000	-42468.39251954137	-2222.2638775873156	-40246.128641954056	2930.2618872149956	21612.92143643096	2640.7571030445633	4.82584976919849E-5	-40246.128641954056	0.0	-2210.1399544018473
9000	-42452.430035146725	-2209.120583324803	-40243.30945182192	2965.329154956982	21374.955707984678	2355.067633222872	4.82584976919849E-5	-40243.30945182192	0.0	-2197.1671276293346
10000	-42409.30020002433	-2209.721833975946	-40199.57836604838	3107.7937335764195	21835.49735644041	2729.617324907049	4.82584976919849E-5	-40199.57836604838	0.0	-2197.548483566788
11000	-42381.871634037874	-2203.812553740799	-40178.05908029708	2899.1339399065737	21543.829658567356	2511.135330837737	4.82584976919849E-5	-40178.05908029708	0.0	-2191.76366622983
12000	-42357.27675396874	-2208.2749825922533	-40149.00177137649	2899.134148167935	21638.540543463827	2596.3842755700534	4.82584976919849E-5	-40149.00177137649	0.0	-2196.176340855771
13000	-42280.300589993945	-2197.8232044262986	-40082.47738556765	3058.9714058857517	21656.279903192204	2466.5075948540043	4.82584976919849E-5	-40082.47738556765	0.0	-2185.8010122796045
14000	-42253.72689673963	-2186.5150572444195	-40067.21183949521	3074.1711447512985	21148.183258156838	2405.027535432666	4.82584976919849E-5	-40067.21183949521	0.0	-2174.5304091228727
15000	-42246.65474916223	-2200.848222462392	-40045.80652669984	3129.530451561746	22223.536074485688	2474.7447640450746	4.82584976919849E-5	-40045.80652669984	0.0	-2188.8210683774614
16000	-42200.35951947236	-2192.330074883557	-40008.02944458881	3046.218607055028	21606.42385376057	2451.6909287196536	4.82584976919849E-5	-40008.02944458881	0.0	-2180.316848151844
17000	-42184.48768284253	-2179.4334760331717	-40005.054206809364	3124.0066314843443	21529.584354297564	2289.3245850539743	4.82584976919849E-5	-40005.054206809364	0.0	-2167.5220471706607
18000	-42189.50222009211	-2180.799519944379	-40008.70270014773	3127.385411274136	21772.13019224147	2273.098760275702	4.82584976919849E-5	-40008.70270014773	0.0	-2168.8986414040864
19000	-42168.80754096523	-2177.5036249395066	-39991.303916025725	3045.0493642613446	21542.023570183104	2216.968375832344	4.82584976919849E-5	-39991.303916025725	0.0	-2165.6398082021515
20000	-42160.54639998021	-2178.249385827977	-39982.29701415223	3181.6129809367994	21852.036768376754	2232.674385315464	4.82584976919849E-5	-39982.29701415223	0.0	-2166.375108964412
21000	-42146.613469899996	-2171.0831106407713	-39975.530359259224	3079.042422001535	21286.06863854106	2230.1408695890077	4.82584976919849E-5	-39975.530359259224	0.0	-2159.2105163095093
22000	-42121.61856607884	-2169.1498563675955	-39952.46870971125	3166.6495591456687	21593.20267333717	2051.9076337723704	4.82584976919849E-5	-39952.46870971125	0.0	-2157.4004768272816
23000	-42117.48996669848	-2164.358674113136	-39953.13129258534	3144.6346524036917	21419.294362514116	2131.4686637600726	4.82584976919849E-5	-39953.13129258534	0.0	-2152.553075304107
24000	-42109.39944989884	-2165.6681420165855	-39943.731307882255	3021.4815855327806	21286.726950552544	2186.749115297513	4.82584976919849E-5	-39943.731307882255	0.0	-2153.824652368649
25000	-42109.66961754362	-2173.516189232215	-39936.15342831141	3036.0769073228375	21788.371916951688	2033.3554702179365	4.82584976919849E-5	-39936.15342831141	0.0	-2161.780218923774
26000	-42092.334612311344	-2170.9122542057607	-39921.422358105585	3043.232409912869	21455.454403250355	1906.4070401791532	4.82584976919849E-5	-39921.422358105585	0.0	-2159.271313170971
27000	-42082.08526270034	-2166.005155840801	-39916.08010685954	3109.4240195170237	21523.6801951217	1918.0786882697273	4.82584976919849E-5	-39916.08010685954	0.0	-2154.3552286789904
28000	-42097.08711090684	-2170.3266810726586	-39926.76042983418	3087.010155728054	21977.95782499682	2171.1632378510535	4.82584976919849E-5	-39926.76042983418	0.0	-2158.493780724949
29000	-42102.14386618979	-2164.305338479583	-39937.838527710206	3049.2929662147353	21514.934662716405	2080.744576564713	4.82584976919849E-5	-39937.838527710206	0.0	-2152.5353447850716
30000	-42098.83198773806	-2164.7222088047197	-39934.10977893334	3070.292922120186	21541.723715479045	2006.1561185052974	4.82584976919849E-5	-39934.10977893334	0.0	-2153.006111124307
31000	-42092.72510250245	-2168.0448060634	-39924.68029643905	3237.587285340681	22223.184383582917	1850.2632135445633	4.82584976919849E-5	-39924.68029643905	0.0	-2156.447840589263
32000	-42075.13355761413	-2163.3651610401844	-39911.76839657394	3134.6299349810065	22048.048542972574	2176.2158708896995	4.82584976919849E-5	-39911.76839657394	0.0	-2151.528819897337
33000	-42080.4004594195	-2158.425918811539	-39921.97454060796	3155.315997451162	21568.12504583387	2181.7315920052183	4.82584976919849E-5	-39921.97454060796	0.0	-2146.5858302395
34000	-42082.01239995854	-2164.4540788745912	-39917.55832108395	3177.8535046043025	21896.67186779643	2035.3391358036026	4.82584976919849E-5	-39917.55832108395	0.0	-2152.71666922001
35000	-42104.98315493183	-2164.339926949662	-39940.64322798217	2919.1761564976046	21408.502493366457	1925.7216529833113	4.82584976919849E-5	-39940.64322798217	0.0	-2152.684143713454
36000	-42088.18061342031	-2161.609226092847	-39926.57138732746	3199.1002347725066	21958.755665884717	2246.6526609747884	4.82584976919849E-5	-39926.57138732746	0.0	-2149.725698873016
37000	-42084.05663792159	-2159.9415230817217	-39924.115114839864	3173.946338026982	21744.54605056728	1764.1864099933475	4.82584976919849E-5	-39924.115114839864	0.0	-2148.4145241400515
38000	-42072.45152135204	-2155.1980513675308	-39917.25346998451	3194.170235109941	21624.2449898846	2129.124615970404	4.82584976919849E-5	-39917.25346998451	0.0	-2143.394079960697
39000	-42093.30263279554	-2163.4523977020826	-39929.85023509346	3294.4548380670585	21977.3554062157	2169.1469577607136	4.82584976919849E-5	-39929.85023509346	0.0	-2151.620872563258
40000	-42077.16022602055	-2159.18125279485	-39917.9789732257	3082.134326590053	21611.522131302212	1873.5573834894788	4.82584976919849E-5	-39917.9789732257	0.0	-2147.565888758344
41000	-42096.72456031261	-2160.1077144326805	-39936.61684587993	3084.628099360176	21775.79985855734	2057.22663253794	4.82584976919849E-5	-39936.61684587993	0.0	-2148.3545118117167
42000	-42066.84608892683	-2151.4761141098143	-39915.36997481702	3226.3780482551633	21683.307181400844	1964.9987605362428	4.82584976919849E-5	-39915.36997481702	0.0	-2139.7905832766983
43000	-42071.77675622043	-2160.6926030797426	-39911.08415314069	3195.0031812458847	22191.121000319596	2090.7920251750825	4.82584976919849E-5	-39911.08415314069	0.0	-2148.9154911695455
44000	-42048.64320580368	-2151.2868053755446	-39897.356400428136	3164.0541624564926	21603.36456807434	1835.1121201996675	4.82584976919849E-5	-39897.356400428136	0.0	-2139.701926192348
