state	joint	prior	likelihood	treeModel.rootHeight	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	clock.rate	treeLikelihood	branchRates	skyline
8000	-58975.1200536218	-2360.6304232561947	-56614.489630365606	1094.4258780264038	14398.97720033573	3986.318697387712	1669.722544977139	2781.830592739786	2624.1871892004515	2612.244374951947	1473.4113910893038	2010.8315376302387	2425.910067084345	1482.3464350803274	495.7956044250046	7.100957085520223E-5	-56614.489630365606	0.0	-2158.273542830829
16000	-58684.87604290669	-2334.6954292922937	-56350.18061361439	1098.5622036677505	14242.606727676191	3885.971342898863	1032.1410500437769	1410.1957910726908	2213.0167670679334	2466.3158257786476	2398.7400020349323	3034.11744016183	1690.8315894661923	1318.5751821639176	661.9351026457285	7.100957085520223E-5	-56350.18061361439	0.0	-2134.1154990582836
24000	-58576.079609681714	-2314.4947768467628	-56261.58483283495	1113.5339255058225	13956.099289003838	2845.8801387640815	1135.5846092743589	997.3262506822413	1977.5676259941179	2133.903906333201	2866.576731760947	1282.4800232128778	2452.8805063019063	1291.2180745592154	521.5827127390542	7.100957085520223E-5	-56261.58483283495	0.0	-2116.8281165699605
32000	-58524.63608109301	-2313.230381139647	-56211.405699953364	1178.796390815939	14233.367388477429	2961.6216727953156	1810.340229160544	828.3468940107884	1928.4752977673604	2195.0006074724297	2372.9642037811195	2346.934729328449	2502.5132764007585	1717.0680412735085	971.6879689313132	7.100957085520223E-5	-56211.405699953364	0.0	-2112.124411205097
40000	-58540.93954211434	-2324.843258798966	-56216.096283315375	1171.6586269527822	14497.597088022854	2233.265834654245	1553.9580042322896	2041.034055184242	1120.7528441172426	1434.7964922771719	2716.056739149794	2931.1313631702296	1405.3927531604897	1370.841258414941	871.3125855603134	7.100957085520223E-5	-56216.096283315375	0.0	-2126.540260344399
48000	-58502.254452250025	-2313.896170369064	-56188.35828188096	1199.4340464108097	14396.862119690095	1688.8611212968613	644.0265951503859	2381.699698300376	1760.0259772218506	2176.3855424796457	1753.2668488429224	3376.6884921315445	1756.9709296221465	2083.143109680959	875.422918317083	7.100957085520223E-5	-56188.35828188096	0.0	-2113.320233757648
56000	-58511.70201531082	-2314.222152638971	-56197.47986267185	1159.7682861039586	14292.590001045757	3187.7158172475597	1203.365485687144	1682.4268977893703	2388.5293829342495	2173.9631221138907	1845.6537639403698	2372.7488393701824	1793.5642968998443	2044.4368263430417	573.0816882380047	7.100957085520223E-5	-56197.47986267185	0.0	-2113.868328370726
64000	-58507.15120411386	-2317.5855525077436	-56189.56565160612	1177.3485776486325	14485.516702764775	3669.8425833710417	849.8703788349333	1097.6866952983316	2425.3118286370923	3006.9886529476103	1416.4964092572257	1966.451360850061	2837.7755986476664	1994.5632865717437	596.7520312488894	7.100957085520223E-5	-56189.56565160612	0.0	-2116.9062437766743
72000	-58501.28015172152	-2305.4146356998535	-56195.865516021666	1160.7372555758316	14077.525130287819	2882.762816978305	1606.2578717604758	694.6973933801735	2085.1085626512777	1892.4705861086065	1593.1622999344072	2156.737183234038	1527.7243914958283	2684.4827742614543	787.2286534488552	7.100957085520223E-5	-56195.865516021666	0.0	-2105.974762901429
80000	-58506.24940136536	-2317.7986578313394	-56188.45074353402	1126.3783015111326	14290.552983420439	2524.130240349045	1211.3634147853031	2039.3639280278978	2109.760262975593	1080.2599867158865	1707.844445450626	2006.8327071024855	1410.3948454734953	2572.4368657114524	855.5171310905329	7.100957085520223E-5	-56188.45074353402	0.0	-2118.950801091255
