state	joint	prior	likelihood	treeModel.rootHeight	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	clock.rate	treeLikelihood	branchRates	skyline
12000	-11197.947933623604	-2312.47054165695	-8885.477391966653	751.3029893961091	13772.869633064276	2483.6434637710972	10434.885993388021	892.4494813493192	1567.5799206297695	1052.0607596453517	988.2600174781682	3093.7248010108838	1251.1252923215297	1111.199537473042	825.2411211978507	6.747836291623882E-5	-8885.477391966653	0.0	-2110.275971062264
24000	-11128.341684042392	-2303.587530286746	-8824.754153755646	757.7798935101273	14160.49306269986	2304.2746476785533	11837.320459160146	454.82688567104674	1605.9207003871902	845.9168814887914	1805.4309408022898	2066.165402266017	1649.4592773354434	1073.1964627447678	635.5101008993648	6.747836291623882E-5	-8824.754153755646	0.0	-2100.989507057358
36000	-11091.858677003222	-2311.8131539433557	-8780.045523059865	830.0693545050535	15711.654722902113	1448.25078543143	12445.897986131742	1114.1885497969142	789.2872265170447	950.1134588223271	1523.5579010610136	2371.0826860145044	2199.2981508154994	1115.9517907907352	592.7937837334667	6.747836291623882E-5	-8780.045523059865	0.0	-2108.1870233172535
48000	-11064.82660538988	-2292.0648347597885	-8772.761770630092	885.9013240799883	15157.73639492432	1196.0534847983965	8756.049962236313	1509.3796582827247	682.5460285791837	936.1695249921032	1127.6163432698713	2274.069533234358	2426.5831102596594	1985.7643301827477	910.7287225353589	6.747836291623882E-5	-8772.761770630092	0.0	-2089.061901991832
60000	-11015.580970054203	-2247.7588576399753	-8767.822112414227	832.3409098602057	14439.981204805366	2262.813992074555	9769.28541406842	403.80152197628576	339.65123400151873	665.9308737317727	1090.9825454895195	1314.5451540405793	3042.6760865859333	1695.8013751300464	1122.2015718678672	6.747836291623882E-5	-8767.822112414227	0.0	-2050.2443425033016
72000	-10993.569495276592	-2229.8052432518034	-8763.764252024788	897.9117447185656	14361.462033795613	2858.3666582151236	9116.214860360684	298.82930199243197	291.2887500333235	675.8244478099308	1089.2054798228774	1277.867570928577	1370.6977096341227	2977.7071833711543	736.8398814201533	6.747836291623882E-5	-8763.764252024788	0.0	-2034.6855301556143
84000	-11007.166425020521	-2251.8872254377934	-8755.279199582728	880.1217871340916	14881.184146022306	2227.7255275088282	8372.918558948977	651.2250105740945	231.53763369590982	579.3313287288323	2347.016200742856	679.1041941869233	2721.982701144678	2026.708758188218	1578.3179126198208	6.747836291623882E-5	-8755.279199582728	0.0	-2050.950219549076
96000	-10971.837494619862	-2217.2393526136675	-8754.598142006194	849.9688555274364	14597.574913664079	1197.2046334878803	9062.240787862822	424.8413739955896	169.4896147545173	410.223704195898	1580.3480606155463	787.369270750746	1819.2637124129958	2511.1086461035547	949.2920314925302	6.747836291623882E-5	-8754.598142006194	0.0	-2020.3560235395303
108000	-10979.09154985184	-2241.943590392184	-8737.147959459657	964.2269321314376	14986.046441358427	2196.006921812814	11088.019842997151	324.7173685368114	473.5138040031726	633.8163109433358	1323.2150434115956	901.116408401709	2494.83391939935	1198.9571306553128	817.3872881473869	6.747836291623882E-5	-8737.147959459657	0.0	-2045.2632547972169
120000	-10990.953117450517	-2234.111332611475	-8756.841784839042	871.2480934216403	14487.497416058766	1327.6430427700886	10438.385304094245	279.01944135517687	597.3409208378997	577.29756135795	1363.1819322400695	1985.0837197023664	2678.0838605741937	1690.2027046158814	799.4104535833885	6.747836291623882E-5	-8756.841784839042	0.0	-2033.6687803514608
132000	-10974.228993949373	-2219.393852666594	-8754.83514128278	835.6946551248388	14581.290163540272	2900.7742612978486	6227.426313299455	183.47239437138546	273.8432491741975	474.41689729541673	1287.7375649227386	1885.2860201754872	2240.4838213141206	2162.926574307419	619.9461872448362	6.747836291623882E-5	-8754.83514128278	0.0	-2026.5685534328704
144000	-10955.79455669196	-2202.367327013644	-8753.427229678317	898.2814996028101	14907.112115331189	1233.6157437858594	5847.213563594804	104.17783974032606	367.4000342354815	528.9901868448561	2145.3573183686544	1312.2503603776418	2571.294396651141	1481.8431131779107	858.9537382699106	6.747836291623882E-5	-8753.427229678317	0.0	-2007.300917733674
156000	-10983.204959784867	-2222.20621620451	-8760.998743580358	932.3111735302266	14888.233046915848	1711.2094354479636	7474.225546663259	102.5593173481784	174.85673580365665	561.2219631911	2626.0515797822363	1616.7901250633613	2183.621161931937	2320.096250533043	1359.258571562751	6.747836291623882E-5	-8760.998743580358	0.0	-2024.5606497227384
168000	-10998.080653501587	-2245.7904989036824	-8752.290154597904	792.7916740268114	14513.631675595358	3017.5461040526147	10458.143997434341	118.59780006085792	319.8100163068001	784.2047731616361	2125.873358723635	1402.2935021056314	2328.549547047041	1776.678899585289	959.6535380757022	6.747836291623882E-5	-8752.290154597904	0.0	-2047.261891669314
