state	joint	prior	likelihood	treeModel.rootHeight	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	clock.rate	treeLikelihood	branchRates	skyline
8000	-45815.55524806127	-2355.0951070026804	-43460.46014105859	1058.5357445637853	14326.563110312174	2632.5867307452536	1284.3360830152892	3633.6883213640563	3609.27508677638	2096.544732522088	1380.8246073839748	2153.9573719771583	2336.620178788076	1361.7765038487587	466.79188499779804	7.280785058562836E-5	-43460.46014105859	0.0	-2153.2750815860722
16000	-45543.998492975865	-2341.824879576695	-43202.17361339917	1076.9701177624406	13969.82710242649	2479.8288887850035	1413.083120268677	2952.1615767211197	1731.6317779508493	1411.4088073041084	2804.3898114529743	2699.4814339155764	1353.0904513649107	1293.3866539451103	786.1125935945108	7.280785058562836E-5	-43202.17361339917	0.0	-2141.7788569068935
24000	-45447.0426843184	-2307.4441327381437	-43139.59855158026	1090.3483756848796	13695.485595055557	1871.909152927399	1914.551871312012	3113.438322434249	822.5374037107608	1123.4696579384681	2108.7584370094974	1730.2126246025302	2313.0313966374606	992.1551432808178	669.9796185302093	7.280785058562836E-5	-43139.59855158026	0.0	-2110.891518646314
32000	-45413.31066499309	-2317.405098911708	-43095.90556608138	1082.2709918513267	14018.271312498058	2254.720468477719	2213.9638414010874	3551.2956242926152	814.1509090939738	1633.4772999446811	2440.4922931856413	1619.393308410736	2481.440399577978	1516.341134346169	1024.0557500607533	7.280785058562836E-5	-43095.90556608138	0.0	-2116.2292451751755
40000	-45372.97123063113	-2298.458302479975	-43074.512928151154	1117.9662351500806	13969.256694621567	1774.8833615209405	2058.985948586744	4636.307504285713	317.545857378329	1389.580170859117	1805.0159402147237	2605.276745040316	2268.2931800532124	869.7605252324267	907.946082007842	7.280785058562836E-5	-43074.512928151154	0.0	-2098.492219384907
48000	-45403.63474793954	-2306.1384214973973	-43097.496326442146	1147.6609676582063	14028.454139623545	1196.4899354845454	1868.5545215056288	4831.713684409344	641.398969086553	1481.0734474742546	1607.1380558011751	3244.6586758865974	2316.716156664592	1198.8124143676744	1045.121810771734	7.280785058562836E-5	-43097.496326442146	0.0	-2105.642931760877
56000	-45421.16143245415	-2332.344655696567	-43088.81677675759	1103.9675819757367	14419.999943183191	1812.6034864774183	2110.7177355283857	4917.02366189618	1430.5728701976648	1884.2245601200252	2187.848697614672	2237.840796441574	2255.6393540192093	1119.1177997842578	719.8758143509431	7.280785058562836E-5	-43088.81677675759	0.0	-2130.8182736190884
64000	-45400.71646803619	-2316.9270795273605	-43083.78938850883	1171.218621798482	13984.37888988093	3079.169984094337	855.7244423512466	5296.123694572641	1525.7336107540325	2706.6387033250285	1292.3820826207864	1882.1099367250788	2972.934870330402	1280.7900469515355	673.0376178402037	7.280785058562836E-5	-43083.78938850883	0.0	-2111.7583423197243
72000	-45378.43369442905	-2317.126423472587	-43061.30727095646	1147.6109106626911	13866.529575332885	1698.0007171769976	1919.6133229368552	2556.572083929249	2597.8766513922233	1818.724385549377	1065.2465545986727	2554.473259378523	939.4429203617752	1900.026040837556	937.8715424124953	7.280785058562836E-5	-43061.30727095646	0.0	-2117.6184579753294
80000	-45364.896240642855	-2325.2312999643964	-43039.664940678456	1064.689436054136	13726.430927758129	2388.4642242399627	2353.5115223918374	4120.267492668099	1061.169778870962	1215.7345448446524	1847.2618491317162	1712.3155325315615	1435.3280909294065	1624.8077181012402	982.8379985554413	7.280785058562836E-5	-43039.664940678456	0.0	-2125.8422989057008
88000	-45367.969167116426	-2318.7065352780346	-43049.26263183839	1123.6724637088225	14065.165343542647	926.8888283219688	2368.129317830762	3668.0933606144895	865.3957986483176	2142.8693894338685	1144.6508435796834	2166.141942168377	1269.88590228375	1232.1256167593845	825.9302974772686	7.280785058562836E-5	-43049.26263183839	0.0	-2121.4785893389953
96000	-45379.172437365574	-2329.676836747137	-43049.49560061844	1127.9851806294155	14066.644799497919	1421.3659899891707	2181.6306939193955	2283.90229711138	1321.8076865982146	2237.3107760104085	1293.2743939502427	3184.271144543568	1211.9893482215764	1309.269427729469	764.6145566213382	7.280785058562836E-5	-43049.49560061844	0.0	-2131.573993447001
104000	-45361.15568274586	-2325.9701175445052	-43035.185565201355	1057.7561927793668	13969.313510781287	1548.791843809558	2135.3379010348867	2537.864078524882	2190.678407750309	1684.186837326678	1132.376890321201	1921.3054569678698	2017.2932581525479	1089.3551809023297	1243.4165803512215	7.280785058562836E-5	-43035.185565201355	0.0	-2127.539544245902
112000	-45351.196624814685	-2316.2721212824686	-43034.92450353222	1080.7756983006857	13748.259862266163	1073.0395344687922	2720.7045822079767	2036.7984919086368	2361.9102434163196	1716.7023843353054	1292.0979751930777	4192.280351012686	2140.6194609044123	947.6157079725845	916.5973400285201	7.280785058562836E-5	-43034.92450353222	0.0	-2115.3870403863016
120000	-45355.09419841333	-2317.486813297095	-43037.60738511624	1063.184269386326	13672.943624104199	1387.2346286108184	2853.4273747683146	1223.6773939169395	3427.146512368845	2602.461166864165	1470.4037047917695	2574.2742807817485	1834.3004552990458	1335.1520461118646	883.891171228981	7.280785058562836E-5	-43037.60738511624	0.0	-2116.018395191796
128000	-45376.052951718346	-2322.4927688043176	-43053.56018291403	1076.6469844154578	13908.780955297532	1478.5187017161395	2838.1818477423103	2501.583635138578	2571.901521872266	2957.901324905443	835.8364019476828	2078.2501646491496	1746.938121694756	992.2502606386867	1359.9773034942002	7.280785058562836E-5	-43053.56018291403	0.0	-2121.5229058209093
136000	-45365.83880568464	-2313.786959995056	-43052.05184568958	1132.2990905346633	14076.258752560294	1628.9421702818468	1671.4731541551632	2798.6439405313986	2139.7811225210144	3155.308821710057	456.330521049618	1923.6792059696604	1998.5614439590586	1706.2961957684165	1395.583746013417	7.280785058562836E-5	-43052.05184568958	0.0	-2112.2755955578264
144000	-45357.13874844593	-2309.802838642702	-43047.33590980322	1125.528181611979	13846.954114851153	1385.4861257771026	1012.1644821142129	2356.3551332876273	3283.7785422401644	2833.609115496927	890.5942197721566	2121.9706497625893	1954.8412258845499	971.032179411394	804.428541535172	7.280785058562836E-5	-43047.33590980322	0.0	-2111.8359795192773
152000	-45327.4055816593	-2302.7742975555802	-43024.63128410372	1145.34375186367	13867.071398671676	1576.6434482359678	1421.9910146926718	3163.392637576744	1345.1818776769242	2260.776884522337	583.1760916074265	2588.112695093726	1098.5029352321012	1729.94835720498	851.6417475128737	7.280785058562836E-5	-43024.63128410372	0.0	-2103.8560924802523
160000	-45325.88040553159	-2300.172954640752	-43025.70745089084	1114.8723622245768	13965.048502491267	2300.398946854732	1592.245954876072	2487.755656884877	1045.5237400165292	3348.1619924687548	660.6063488229257	2225.062599526689	1582.2448018542582	889.8867865655469	912.2859579565685	7.280785058562836E-5	-43025.70745089084	0.0	-2101.289370257817
168000	-45337.214931117574	-2315.7727593892805	-43021.4421717283	1158.5629278933534	13881.024709980407	2337.219884465196	1951.0539238023953	3165.116136822458	1329.8416554042076	2269.6384245132817	1904.8196423262377	1129.429538270313	1785.1113551214935	1131.3847925677405	978.5706539800016	7.280785058562836E-5	-43021.4421717283	0.0	-2116.864385041111
176000	-45340.7302523404	-2307.7268482102268	-43033.00340413017	1169.8974001364973	13917.28657980691	2477.8138944745688	1036.7658076565253	3210.808902114017	2090.4727170432375	1724.652167499692	1094.6345345458278	1745.0144632716958	1358.1120456626475	1058.4599574680594	1103.7922522753072	7.280785058562836E-5	-43033.00340413017	0.0	-2109.9246997800583
184000	-45348.89804026998	-2322.435601181449	-43026.46243908853	1150.6549927168999	14055.333916995478	1863.5733086608216	3458.171721917168	1319.5665637845445	2723.26152326032	2971.5195759825315	1018.0972940607151	2171.0861636328236	1736.9168179240244	1409.0235666618282	803.090118985496	7.280785058562836E-5	-43026.46243908853	0.0	-2121.400089859552
192000	-45345.35231285798	-2311.1728552053983	-43034.179457652586	1097.3979962357503	13936.787312049644	1361.9213160374743	3098.8395466787065	2411.3827957935378	700.8115414518355	1592.5560551228687	1314.530806152254	2342.9581313688527	1756.2854290283767	1438.6113924375536	1256.754826649657	7.280785058562836E-5	-43034.179457652586	0.0	-2112.734165064438
200000	-45357.72141205341	-2325.5082026704226	-43032.213209382986	1053.2405280579515	14015.062643157447	3235.2883626815665	3380.6620418147395	2612.835760914874	886.1044233154807	2067.8850428007245	1432.583265700058	2846.445248716363	1456.3348459171523	1452.5653476910743	892.0185765126697	7.280785058562836E-5	-43032.213209382986	0.0	-2124.0372656616746
208000	-45343.56101838743	-2313.7369639868148	-43029.82405440062	1133.554886197	14098.11026095807	2198.262087981316	1610.4471278792375	2461.328347851155	858.3522564134714	1793.282064261154	1802.8622992047447	2326.1235192010827	1698.5619550871781	1195.5075271951	781.7853626815195	7.280785058562836E-5	-43029.82405440062	0.0	-2116.4704071925157
216000	-45349.880104034826	-2310.101384447401	-43039.778719587426	1153.531470175562	13788.452049243746	2290.856511131252	1029.7597534424642	2335.374686608797	1258.3918348937423	1647.264455284015	2348.2414671543706	1237.1108214380822	2090.0954799642227	1176.5302343284377	1120.0281607148054	7.280785058562836E-5	-43039.778719587426	0.0	-2112.4698072149536
224000	-45350.93679325437	-2326.1965923761563	-43024.74020087821	1110.877133393676	14138.984143884596	1790.8017298789455	2411.876910996829	2003.4876416142226	2483.907536976995	2060.1292057615287	1707.8380597093806	2157.0683126530266	1131.361207826029	1741.2598121503045	1217.7122057549273	7.280785058562836E-5	-43024.74020087821	0.0	-2125.9430905913086
232000	-45358.509796185324	-2311.541903686304	-43046.96789249902	1073.3146907012724	13845.70195644763	1366.5958289877024	2649.877166188552	1403.2304138993072	2154.659340983953	2401.1460994890876	1398.868068641828	3187.2833390755227	1744.2690464629156	863.7052864447963	1251.511341152383	7.280785058562836E-5	-43046.96789249902	0.0	-2111.6008549943494
240000	-45350.210066598804	-2317.421922786858	-43032.788143811944	1125.327422410724	14132.864077074457	1406.6559496181599	1771.887292777299	2070.749333484732	1781.6986448635473	2493.561735615618	1775.4379004390087	2412.7374821281387	1828.9554541785044	1094.3144440206042	1076.608148755845	7.280785058562836E-5	-43032.788143811944	0.0	-2118.8009765029938
248000	-45346.984492846386	-2304.5800842165413	-43042.404408629845	1128.6684460812373	13739.858832586307	2089.0755088666947	1066.281709690105	2986.5372993332994	1389.0272134404452	2933.2921027121615	1584.722674019956	2779.4589143177145	1356.3084987894335	1597.5812581878054	1232.7164719208606	7.280785058562836E-5	-43042.404408629845	0.0	-2103.1506174964197
