state	joint	prior	likelihood	treeModel.rootHeight	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	clock.rate	treeLikelihood	branchRates	skyline
8000	-69499.06390763065	-2377.5110857880177	-67121.55282184263	1932.538599371668	18171.199227082674	2910.396628518058	2982.6367399226588	1975.696910162086	4256.797338218882	1299.0996531985845	1416.5689375257145	1830.7152116093162	2448.3811725467936	2285.5071717763512	680.5185573525707	5.737807159785456E-5	-67121.55282184263	0.0	-2173.9804753377
16000	-69031.68758097591	-2350.035095965812	-66681.6524850101	1989.0857513027267	17788.76461697789	2775.6184016823345	1854.3318435136757	1750.496391748621	2144.940246187626	2309.427637844692	2143.5209621543754	2257.0155854539535	1454.495429820148	2095.52260777747	998.9403520834744	5.737807159785456E-5	-66681.6524850101	0.0	-2148.5045014380667
24000	-68879.89448482427	-2326.3782051681073	-66553.51627965616	1996.0393155463632	17508.447336796224	1509.2584746050795	3142.0413222472152	1936.1406245972935	1163.6858482037524	1692.4844885781024	2727.617218628087	1315.5082884353035	1833.6015839408753	1767.0859555762465	858.5473098936963	5.737807159785456E-5	-66553.51627965616	0.0	-2127.244177779329
32000	-68806.82024966051	-2326.8893050299566	-66479.93094463056	2118.218263078738	18244.763109708154	1754.4469993434304	2053.007615078464	1268.4748489969975	2291.2777039909115	2073.4363438406926	2569.059550770264	1144.6648152496543	1807.193999831983	2492.7736384614354	1413.2258442077891	5.737807159785456E-5	-66479.93094463056	0.0	-2126.101845841377
40000	-68801.55433114374	-2322.577272099596	-66478.97705904413	2037.801465195087	17990.45469618733	2014.4556533243954	2195.366693259044	1653.9344602729398	1316.0090018008889	1267.080905247565	2018.9236392918397	1190.9933015588626	2137.6367802433447	1698.6309303022258	1407.3598824019566	5.737807159785456E-5	-66478.97705904413	0.0	-2124.620729011935
48000	-68748.6776153064	-2315.7116368221264	-66432.96597848427	2099.8730280266964	17962.521392700164	2048.8946141307274	1006.786073245245	1811.8225069410275	1324.8360484385223	2833.0890064789314	1470.3652862807883	1443.9179444059764	2112.6507147844404	2138.8334496716197	1741.3530317984541	5.737807159785456E-5	-66432.96597848427	0.0	-2116.09165431979
56000	-68743.45435836828	-2305.0596695488425	-66438.39468881943	1995.8970767968583	17583.2971602816	2381.392532445301	2003.2846634894881	1554.1439874095815	1688.718316792112	2324.551206645733	1452.0885999516781	1374.1865231060717	2016.1792621913944	1921.9022504308796	1209.207532611191	5.737807159785456E-5	-66438.39468881943	0.0	-2105.816436604377
64000	-68727.75369043938	-2309.7126939715063	-66418.04099646787	2076.9891257056765	18034.58791897541	3313.394180227228	1362.9590702302555	1194.8884765334733	1596.8639779263212	3335.5268556009682	1138.195433599271	1195.896682998872	2915.590647077174	2212.96029505216	950.8365528167864	5.737807159785456E-5	-66418.04099646787	0.0	-2109.1277272971624
72000	-68727.21956182783	-2297.823186399694	-66429.39637542814	2094.9823702060257	17713.50372717533	2164.411297571843	2243.6562273819472	907.5836461328776	846.2127967905119	2352.222655046781	1159.1868226589281	1438.072718892727	1418.3408920311767	3421.7026129640494	1268.572232773925	5.737807159785456E-5	-66429.39637542814	0.0	-2099.4497670771348
80000	-68725.82749057948	-2308.432791878558	-66417.39469870093	2050.0460675114705	18027.980425524547	3490.444929247851	1195.5077868368905	1686.6781045490093	2207.2636044574224	1223.258496429522	1025.7095222265025	880.758871545201	1977.2040045840108	3429.932572722908	1353.181306280141	5.737807159785456E-5	-66417.39469870093	0.0	-2109.230143075518
