state	joint	prior	likelihood	treeModel.rootHeight	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	clock.rate	treeLikelihood	branchRates	skyline
12000	-10624.102469565527	-2345.519169640053	-8278.583299925474	2203.2457489947656	17347.430139429947	4999.8115017430455	3665.2206595059115	1272.6860102559729	1805.7166861152025	1493.7445196442657	1120.8644783317989	2486.165214611513	2691.783240898011	1058.932761008951	857.7741134003684	5.566311713455954E-5	-8278.583299925474	0.0	-2144.1094917128935
24000	-10566.08749685813	-2339.2267212542165	-8226.860775603915	2238.2294494637176	18003.291633989083	3492.973046795682	2827.665156532773	1137.406428604195	3169.700261829396	1361.009352212841	2059.6955099202232	2635.135452834732	865.3060089348523	1238.45142596427	936.2814343189035	5.566311713455954E-5	-8226.860775603915	0.0	-2138.3206904943904
36000	-10488.020287485018	-2293.756909510961	-8194.263377974057	2203.430455553298	16930.529177911492	3251.026413768506	1434.6845906417714	1959.6531289878637	1978.3796272884433	1521.8035461148768	1525.4791501502323	3180.685994274252	739.2353025763049	1149.1747039554768	1030.7440620614232	5.566311713455954E-5	-8194.263377974057	0.0	-2095.4206631818697
48000	-10476.491746722519	-2316.0365863012316	-8160.4551604212875	2520.253688448445	19180.453616534807	2054.2262387026203	1170.6445697578615	1113.2617676668456	2295.5156911031854	1500.8864387514348	1639.6654216951033	4598.737600376084	872.7682536277443	1482.4819183318284	1605.401089137436	5.566311713455954E-5	-8160.4551604212875	0.0	-2116.3359400169134
60000	-10475.323542704273	-2309.2380461177304	-8166.085496586543	2308.7441216960506	18858.127997913558	2563.840969802714	1245.654036285492	956.4603137913796	1150.735034940913	1820.6700438534617	1933.241420242013	3458.655936188138	1021.7563680389125	1384.3450682115176	2123.3834563334594	5.566311713455954E-5	-8166.085496586543	0.0	-2110.923938415617
72000	-10438.263239276806	-2268.827552462407	-8169.4356868144	2281.240068016283	17573.406266818307	2984.708138046034	787.6765445979328	466.58597305870035	1494.8347615845228	1768.362281735379	1880.5406898622075	3197.7397763681392	658.397946816521	2117.3215121881094	1221.615015638406	5.566311713455954E-5	-8169.4356868144	0.0	-2071.4121374177403
84000	-10452.325554823332	-2272.5807736608213	-8179.744781162511	2410.357865729262	18412.968208923423	2387.859587859181	428.19731735574805	975.9917866853432	1482.5259115751535	868.1363666564486	2960.885855742082	3260.2082533448547	1158.4702443886722	1717.3652347386887	2696.832673003263	5.566311713455954E-5	-8179.744781162511	0.0	-2073.720480373774
96000	-10422.661821641383	-2253.4012977365132	-8169.26052390487	2535.9136467684402	18713.306034116333	2189.926547839322	426.2353699907992	357.91027237653043	2120.5507359483986	657.1585696465952	3135.049903141166	2164.663688126872	1044.617723046829	1845.2483147046607	1418.2338932258372	5.566311713455954E-5	-8169.26052390487	0.0	-2055.683987454014
108000	-10426.094775217567	-2254.999638827799	-8171.095136389768	2488.6864456225353	18551.540608562478	2367.830627119355	326.7018738793456	643.2412463453041	1792.314416641359	1456.7574651276043	2288.138390368109	2888.489739885685	984.6669047093378	1110.9759226598821	1419.4410898134056	5.566311713455954E-5	-8171.095136389768	0.0	-2060.6398764075007
120000	-10433.239031468765	-2258.8647424645274	-8174.374289004239	2461.136038642324	18949.426796253385	2112.553786004754	487.8869520047313	402.5109975316161	1637.890811772028	1660.007423538697	3512.739549999308	2281.532989370772	1687.0076955392476	1423.7358539160325	1596.3272204103976	5.566311713455954E-5	-8174.374289004239	0.0	-2062.069743556838
