state	joint	prior	likelihood	treeModel.rootHeight	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	clock.rate	treeLikelihood	branchRates	skyline
8000	-42522.612936610814	-2347.172564490839	-40175.44037211998	3015.1491086221013	18331.213753022676	2578.5714605410567	1975.3517522168736	2692.2855145937833	3492.766726335348	3039.45627136775	1226.6947951304298	1722.176683569849	2311.5112793866083	1198.6947357129018	584.4117905847211	5.872590322992468E-5	-40175.44037211998	0.0	-2145.8109545475195
16000	-42228.23000320791	-2308.233789641355	-39919.996213566556	3073.0210469244694	18119.024084911558	3019.526581904342	1100.2141507408896	1647.780050902287	1652.6871083219921	2183.194827000737	2110.6188022874094	2298.075355864189	1424.0707327942846	1227.8194601157868	707.5338568835415	5.872590322992468E-5	-39919.996213566556	0.0	-2110.631053382726
24000	-42106.660791932816	-2292.752023326794	-39813.90876860602	2923.78547660614	17501.502964681586	2832.5731996170257	1278.168434480912	761.3213020743198	1819.5440717401389	2607.083426833782	2547.573306981556	1013.7846532195041	2396.3426467022373	1075.5823293157723	589.2024774414639	5.872590322992468E-5	-39813.90876860602	0.0	-2095.7448748893603
32000	-42022.91669987514	-2284.4819963852055	-39738.43470348993	3169.9198371986386	18248.02767360081	3557.6679440534663	1404.242608506896	645.1381486221517	2209.08092733856	2380.3856709147503	1566.4502915886314	1075.533036552881	2621.0658347744998	1826.480767649717	794.2651907084207	5.872590322992468E-5	-39738.43470348993	0.0	-2085.04419216695
40000	-41995.169566770775	-2284.2485685227816	-39710.920998247995	2990.4011513951455	17993.634066915736	3200.661705482471	1176.1513344399955	821.2229018705924	1025.3101786177056	2378.10728242531	1454.2079478571989	1796.4297918377	2421.5024531957038	904.4071551114878	842.4201659119472	5.872590322992468E-5	-39710.920998247995	0.0	-2088.8164197579667
48000	-42007.50634047632	-2287.4033672990804	-39720.10297317724	3114.409641238299	18073.850305436015	2207.657908020729	1011.4053661008247	841.3838416485277	1250.2290737838794	2893.0090849875755	1437.89329669601	1577.7745453011046	2492.6429511780752	1448.8222068285293	887.1135500352729	5.872590322992468E-5	-39720.10297317724	0.0	-2091.3331860550124
56000	-42001.675101198714	-2306.1684030786028	-39695.50669812011	3087.643445217038	18799.12781963869	3670.6775602336693	1450.9517235329993	1112.9455437972267	2627.5553794908437	2553.3773470142505	1553.2239562704347	1467.5263464470752	2114.2040398437484	1642.762460737135	641.8174458686916	5.872590322992468E-5	-39695.50669812011	0.0	-2106.583795114188
64000	-41952.336346047916	-2281.0247952391674	-39671.31155080875	3013.0353775988765	17884.093865809984	4247.921721952116	451.97835615634955	1186.3539739688506	2602.192631649155	1818.2866768135875	1336.6388010120863	1382.4220056796357	3542.684838703162	1641.0305714736803	643.1295780763684	5.872590322992468E-5	-39671.31155080875	0.0	-2081.530622906178
72000	-41935.0505858606	-2266.4545421537573	-39668.59604370684	3028.135690644524	17733.387479405697	3181.3290420140124	700.9307065687104	793.1521619824003	1842.3520485964614	2645.8037449062317	872.8616074678049	889.472024003362	1605.6526969959464	1983.8592096245443	818.6538601739031	5.872590322992468E-5	-39668.59604370684	0.0	-2071.9985303094586
80000	-41909.40715967647	-2249.4250991885715	-39659.9820604879	3028.0864024833436	18189.747823265952	4578.434116758733	298.96100422717365	1135.3994399314954	1381.5430915045624	1942.3712235728003	1216.392027346997	552.6386169339626	2339.1874740448407	2171.49242074919	856.8604258578166	5.872590322992468E-5	-39659.9820604879	0.0	-2052.235237222449
88000	-41910.78955341359	-2253.9672833820186	-39656.822270031575	2972.820990727577	17744.142144465044	2201.693224800376	296.1900249471197	1882.1633524121467	1576.2132033020969	1818.5609005431845	1199.646628904748	954.4158229812483	1831.1697567348608	1594.071696699986	679.8466364913882	5.872590322992468E-5	-39656.822270031575	0.0	-2058.3472543349285
96000	-41912.88597543854	-2255.62434035901	-39657.26163507953	3043.017327265693	18096.877607349496	2752.814202060015	332.04634036736167	898.979045329724	1013.2047639793403	1954.4569827260273	1431.2385867444932	1075.6483414848499	1907.6503160043978	1873.5477541323387	720.6081363281215	5.872590322992468E-5	-39657.26163507953	0.0	-2063.005886364503
104000	-41907.68162677958	-2264.012368432856	-39643.66925834672	3113.8616477168894	18266.35760179354	4169.817426703068	399.5871861701304	1297.7963991234406	1438.1038484443236	2047.762392904069	886.3933002876975	810.5052686846338	2148.0080400186907	1486.2651659904952	1096.3857450264054	5.872590322992468E-5	-39643.66925834672	0.0	-2068.37290151546
112000	-41908.92914811719	-2263.4862363807842	-39645.442911736405	2905.3454715407315	17735.997479290043	3772.218896537121	384.92532739767495	847.5091378523757	2164.44329135463	1599.1622040817072	967.0494693849521	1942.1479690253138	2196.625419890692	1417.3998708307186	863.0707489986157	5.872590322992468E-5	-39645.442911736405	0.0	-2067.6895750818344
