state	joint	prior	likelihood	treeModel.rootHeight	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	clock.rate	treeLikelihood	branchRates	skyline
8000	-83034.87476787629	-2414.126230019199	-80620.74853785709	3498.282732292298	23680.545402605294	6587.696896479119	1718.08013474896	2234.9705286708345	5076.138091741051	1917.2641052129848	2031.7660081924419	2339.0522662891603	3148.2621612809608	1976.5728799246565	907.0997784642931	4.471663264314183E-5	-80620.74853785709	0.0	-2205.451712197512
16000	-82361.76389770488	-2389.3296031354434	-79972.43429456944	3588.3478167903595	23598.30440264001	3480.236982059232	1485.7137173209373	2197.9044562660847	1922.440912538451	3285.3485869691976	3200.262893430541	2325.7325286335968	2289.9827009990663	1781.1750036832855	1509.1553054454823	4.471663264314183E-5	-79972.43429456944	0.0	-2183.64976596947
24000	-82146.78887034758	-2366.728970708115	-79780.05989963945	3463.1462439228935	23171.50259971606	2892.321990414407	1233.6232723616154	2013.0258510381825	1686.242867921404	3457.728643253678	2289.896970582945	1158.0307800533183	2719.2549663507266	1752.998425940462	1185.4564578396303	4.471663264314183E-5	-79780.05989963945	0.0	-2164.096963609968
32000	-82108.31102843599	-2360.118955035902	-79748.19207340009	3652.2099434737547	23442.854971050383	4030.1519191409616	1080.950077283688	1347.36645961032	2997.193449743981	3116.3591504511005	2568.03528475688	1228.8934425672412	2956.5053278798146	1875.132292169387	1938.3249217859047	4.471663264314183E-5	-79748.19207340009	0.0	-2154.5732217446484
40000	-82076.67431535972	-2350.955173560626	-79725.7191417991	3635.96357898697	23688.54430243354	3956.598773467795	751.4538920037769	2853.3673503264986	959.7790379062128	2070.3026480929007	2539.347327132169	2049.805738810952	2469.33245194723	1217.9088707359442	1812.2059215366032	4.471663264314183E-5	-79725.7191417991	0.0	-2147.157597459745
48000	-82060.53720187738	-2342.873339948643	-79717.66386192874	3621.9877626220837	23412.797673987032	2418.4376706498406	515.5306883537958	2859.307113664887	1101.018165043646	2810.888099368623	1978.762071774633	2269.193550183507	3080.2833185704435	1489.1957798761318	1849.51972607136	4.471663264314183E-5	-79717.66386192874	0.0	-2137.9668497357857
56000	-82045.17532423406	-2352.7175388836386	-79692.45778535043	3581.683290834436	23691.282838911608	4065.9758794432405	716.9091677299687	2510.9390387428657	2410.2112700592047	2573.1376702297307	2252.3712452620725	1664.0217109551877	2635.8874224679635	1460.496125167894	1735.7977478290445	4.471663264314183E-5	-79692.45778535043	0.0	-2147.7749865981978
64000	-82078.97247909059	-2366.615768562804	-79712.35671052779	3590.741755561953	23886.535995383187	4053.00633401149	1175.4439409235672	2069.0378573699954	3134.9962111188843	3183.71839372594	1853.8323206094356	1088.0947784371338	3447.026277991897	1930.5848301957801	1388.526261697816	4.471663264314183E-5	-79712.35671052779	0.0	-2160.7175943832194
72000	-82040.9050245676	-2342.125542535421	-79698.77948203219	3735.1703048828253	23569.173362025675	3664.153126601342	688.2864924118394	1576.0574872966276	2480.533021676433	2723.6305617850476	1547.9782349288612	1293.5003950434912	1755.5779875678477	2072.7276719025663	1755.7958302251723	4.471663264314183E-5	-79698.77948203219	0.0	-2140.967593403245
80000	-82035.01557004481	-2345.006401538176	-79690.00916850663	3528.164425927569	23099.217899855492	5152.683695149484	1163.7468678888915	2572.736360666839	1533.6543643866735	2057.2755436431435	1309.853150699308	862.1192415893407	2821.917814242252	1846.3046281710235	1943.760649232868	4.471663264314183E-5	-79690.00916850663	0.0	-2141.6931384514724
