state	joint	prior	likelihood	treeModel.rootHeight	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	clock.rate	treeLikelihood	branchRates	skyline
12000	-10066.016735223846	-2389.522328517014	-7676.494406706833	6072.018067620338	25533.55952648404	3349.452188595352	6491.749142715777	2109.7779861144004	2621.5790112756704	2437.793642660985	1021.8456967578446	2268.8755342364457	2270.100668996488	1308.4735397791094	864.5859520362677	4.2620216807189845E-5	-7676.494406706833	0.0	-2184.312416379916
24000	-9941.635831742624	-2371.5029801491673	-7570.132851593457	6114.563248125791	26045.596549888138	2145.8291047593793	6806.508394276818	1157.2389157002274	3145.159518941616	1456.863848303682	2121.111384644268	2599.964814688618	2078.374807671327	1433.116470281201	880.0029000367526	4.2620216807189845E-5	-7570.132851593457	0.0	-2165.8658187892215
36000	-9931.481756547244	-2357.777195088324	-7573.70456145892	6330.422624059369	26591.576246046097	2276.641760067146	3759.673114119421	5721.468989400416	882.3574795667165	1864.8218195980487	1649.7361428101112	1580.377651841889	2378.2081049257354	1286.5880693065872	885.172927865101	4.2620216807189845E-5	-7573.70456145892	0.0	-2155.045513417191
48000	-9908.352701386055	-2358.372984914601	-7549.979716471455	6580.620733646221	27537.446551695328	1624.56016939599	4441.225515997885	4742.416236611369	796.5890056270287	1446.8972221291415	2219.000668217766	2506.6031937318885	3210.7339654726934	977.0151483631096	1438.329243932422	4.2620216807189845E-5	-7549.979716471455	0.0	-2153.6015862159857
60000	-9894.988867971968	-2343.107883770747	-7551.8809842012215	5780.840859869561	25520.124253558286	2014.2942564007312	2999.232944338576	4851.501939546413	664.8791149935195	1156.8156776590556	1387.0854619994147	3313.972764278325	2315.946305204194	1089.6623642049026	1624.2836479289444	4.2620216807189845E-5	-7551.8809842012215	0.0	-2140.6115671098846
72000	-9855.012903622099	-2282.977810410734	-7572.035093211365	6151.483640013976	25459.26524219686	3198.224586216929	1111.4454776813677	5154.8474232095	382.648710999355	759.2618871456791	1603.3328920133586	1389.4238473464097	1766.401783442978	2238.5728526797056	1116.5452545362302	4.2620216807189845E-5	-7572.035093211365	0.0	-2082.9226708170745
84000	-9842.079789137877	-2279.2056062189113	-7562.874182918966	6568.252318716509	26595.729016083897	3272.930623824524	1522.5286880948859	7735.700147109849	232.63151042818222	454.39145535202175	817.2060281917776	1615.525043244588	2523.913820399268	1998.9439100709642	2261.1220892427905	4.2620216807189845E-5	-7562.874182918966	0.0	-2077.5782181535596
96000	-9828.667810047078	-2280.6578844283285	-7548.00992561875	6154.893598341331	26196.189561039653	1714.7428216759135	3596.7745762972854	4763.086868917063	246.45852699938214	360.6565213809589	845.4516538653245	4098.81400408671	1034.7911366806554	1873.0606939174436	1363.1145410630172	4.2620216807189845E-5	-7548.00992561875	0.0	-2081.3625051327617
108000	-9817.106234449211	-2272.3858811633504	-7544.720353285861	6067.640532732056	25409.414692500242	1693.0094616968693	2776.5209080788427	5641.392243372236	437.4679468108934	504.64763114895806	590.7981470835382	3798.0959851345497	810.9133966689313	1235.167455975195	1334.3623458883449	4.2620216807189845E-5	-7544.720353285861	0.0	-2073.500896626833
120000	-9837.138259001378	-2291.1460917610475	-7545.992167240332	6188.486678361754	26425.19311458959	1561.9906735151876	3980.8637223499286	4531.582428116238	600.0298760503556	327.05094432904883	817.4655037783284	2797.0345999215415	2082.0080807705694	1304.391763671329	1089.765411733078	4.2620216807189845E-5	-7545.992167240332	0.0	-2093.1291428759623
132000	-9820.060467666888	-2272.6458322101075	-7547.41463545678	5743.984909682799	25619.837264582595	1696.9731205245646	1574.7329961125145	8535.620416137974	553.6708351310671	177.17770719688184	1097.5285714178385	1928.992707341561	2315.2734118088756	1706.2694648912668	1307.0582123607896	4.2620216807189845E-5	-7547.41463545678	0.0	-2070.7924657298663
144000	-9837.41375068241	-2282.410400374543	-7555.003350307868	6202.151419416676	26519.30865269106	1207.8454382817192	2455.4729132897974	5092.136033323324	639.5222196969007	234.525882486372	1540.4537861941474	3091.823513560023	1168.4052369501305	1925.4731932390714	1046.4462281796648	4.2620216807189845E-5	-7555.003350307868	0.0	-2082.2972519038894
