state	joint	prior	likelihood	treeModel.rootHeight	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	clock.rate	treeLikelihood	branchRates	skyline
8000	-41792.646034579855	-2467.9986793146572	-39324.647355265195	4123.699867261274	29811.79043854972	4236.908532787929	4871.730251969699	4197.466818771839	5866.373333664849	2057.4500049371977	2349.2861898597307	2415.7755953641417	3080.0472078512166	2844.9274436325236	1148.0338890218788	3.675001997283694E-5	-39324.647355265195	0.0	-2254.856397956937
16000	-41473.99971226369	-2405.0486923204508	-39068.95101994324	4141.841940962259	28517.04089591749	1481.0341690394143	4386.890838866619	2487.717976622658	2791.487251681183	2380.073011491714	2380.226258015006	4173.416847888654	1149.258701907235	1777.5518945084925	1680.4669237996607	3.675001997283694E-5	-39068.95101994324	0.0	-2197.814773819132
24000	-41358.9236370425	-2363.902499939555	-38995.02113710294	4146.831662879746	28211.542815474142	1385.9979835332354	6061.232593655022	520.0574521123207	1144.1567881067367	2854.5582069724446	2215.8961484652873	2424.261708341267	2237.107481831283	1872.5518687826393	1546.764228788711	3.675001997283694E-5	-38995.02113710294	0.0	-2158.9511624690062
32000	-41331.86187932603	-2351.8994859359877	-38979.962393390044	4252.3785881362855	28926.15720686535	1396.3636356853729	5443.086822806006	1196.7341746638372	920.7674648028965	1843.916382819945	2914.0783249336373	2085.2765090351986	2108.02932322829	2184.866469993438	2456.740079747103	3.675001997283694E-5	-38979.962393390044	0.0	-2146.823581757965
40000	-41347.834721469146	-2370.276529905438	-38977.55819156371	4222.34988468023	28625.282562280518	1501.846037172611	5014.426465657987	1732.074129316158	823.2678960717614	1836.007102561008	2851.9250246891525	3003.718939585893	1497.9632115675147	1486.925609441977	2306.152481554085	3.675001997283694E-5	-38977.55819156371	0.0	-2165.8829408918577
48000	-41319.51050724259	-2358.395484440466	-38961.11502280212	4385.3775298431465	28877.270104686537	1409.3604266289942	3446.6935183559403	2076.6246111997257	483.40107168992546	2415.7023402947334	1656.9393672068836	3388.7481083995626	2514.2656340222993	2046.1393008065152	2520.175818252311	3.675001997283694E-5	-38961.11502280212	0.0	-2152.4040255681784
56000	-41306.260225938466	-2361.0259003005	-38945.23432563797	4310.775827803324	29684.21411113061	1201.726984973651	4526.177625071131	4174.833750879757	565.1228107076424	2489.6169288004344	1762.4487616293607	3176.1897074888034	2002.295132064429	2097.7969969196574	1962.62273731974	3.675001997283694E-5	-38945.23432563797	0.0	-2153.0317097517814
64000	-41298.52619706667	-2342.694820157558	-38955.83137690911	4221.064141513845	28621.156794519775	1295.326424562541	2837.0539269471933	5221.541461027564	467.0055753371248	1883.068150813882	1793.2136310478945	2612.0023311800314	3223.5677155144986	2156.2314834694885	1776.9838101015448	3.675001997283694E-5	-38955.83137690911	0.0	-2136.601082863943
72000	-41300.584306788485	-2330.6892241400337	-38969.89508264845	4284.915656178709	28312.18734948624	1762.617703962529	4168.69900584589	1417.1768028983595	445.7976864815592	938.8598576697591	2335.8417215989275	2565.159798271152	1410.737351046488	2902.395072753137	2332.9073756499297	3.675001997283694E-5	-38969.89508264845	0.0	-2129.09644506619
80000	-41299.32505017016	-2343.9170436056547	-38955.40800656451	4186.454025284753	28891.23324783387	1531.4749444471472	3659.9707538536836	3891.9890102972413	553.0858728895965	924.8475545068122	2132.631993332189	2485.475738808791	1432.4957466846195	2737.6071421495926	2252.5320612791184	3.675001997283694E-5	-38955.40800656451	0.0	-2140.688131999091
88000	-41280.3578584416	-2341.4397201075053	-38938.9181383341	4186.996789747312	28309.70415663346	1000.6055716960994	2824.9610334150507	3625.565359761049	794.3533465883604	874.6668382903321	2077.2534128529123	2346.9668889615873	1927.5570976290276	1894.1861623629306	2126.809271448299	3.675001997283694E-5	-38938.9181383341	0.0	-2140.4351507083934
96000	-41301.54315776532	-2351.7058808695233	-38949.8372768958	4357.900380897969	29108.8905041037	1572.8044007034227	2775.99900751592	2837.425946224595	631.4630074671999	789.0628051470123	2097.9245506727684	4180.175298257383	1731.5917429128067	2485.617450798034	2451.613117325162	3.675001997283694E-5	-38949.8372768958	0.0	-2148.6252621565473
104000	-41287.729498142304	-2354.6476010455576	-38933.081897096745	4193.11103319471	28460.321913997283	2008.1518292698124	2440.8839101694425	2275.0962628008047	2259.294880018488	584.4145901983323	1460.4815009819476	2686.5584407220763	1851.7605508181432	1832.020852521375	3292.6458465767228	3.675001997283694E-5	-38933.081897096745	0.0	-2151.8828677723945
112000	-41264.21555222425	-2324.0996541393893	-38940.115898084856	4389.753150455137	28770.395637140828	958.7771355072863	3162.063947797695	2460.7408889779954	575.7076479324804	938.5390208321095	1901.7839210592774	5172.24459958992	1657.244929673996	1669.61849052965	2228.9331976873264	3.675001997283694E-5	-38940.115898084856	0.0	-2121.891900391306
120000	-41283.25402029693	-2335.7983436209274	-38947.45567667601	4280.333458070213	28610.502359256563	1209.20962746052	4053.706593111001	2387.5807887531396	488.484278763025	1447.3830051557638	2371.620193696776	3055.6636124615256	2369.104735310444	2151.9888716148957	2122.6878742170647	3.675001997283694E-5	-38947.45567667601	0.0	-2131.5617924760395
128000	-41307.021797239424	-2362.6923747230453	-38944.32942251638	4255.174929469579	28955.079692993764	1365.6398162782575	3796.362116805905	3368.182657682234	848.392163529833	2239.648190987875	1192.2614779593086	2518.694717694905	2087.1196031594454	2074.7431979587063	3301.219812662426	3.675001997283694E-5	-38944.32942251638	0.0	-2156.9487963918664
