sampling,popmodel,replicate,n_snps
independenthomochronous,expgrowthfast,0,2849
independenthomochronous,expgrowthfast,1,3034
independenthomochronous,expgrowthfast,2,3021
independenthomochronous,expgrowthfast,3,3235
independenthomochronous,expgrowthfast,4,3034
independenthomochronous,expgrowthfast,5,3186
independenthomochronous,expgrowthfast,6,2825
independenthomochronous,expgrowthfast,7,3089
independenthomochronous,expgrowthfast,8,3323
independenthomochronous,expgrowthfast,9,3071
independenthomochronous,expgrowthfast,10,3199
independenthomochronous,expgrowthfast,11,3028
independenthomochronous,expgrowthfast,12,2999
independenthomochronous,expgrowthfast,13,3233
independenthomochronous,expgrowthfast,14,3163
independenthomochronous,expgrowthfast,15,3063
independenthomochronous,expgrowthfast,16,3196
independenthomochronous,expgrowthfast,17,2981
independenthomochronous,expgrowthfast,18,2901
independenthomochronous,expgrowthfast,19,3271
independenthomochronous,expgrowthfast,20,3193
independenthomochronous,expgrowthfast,21,3311
independenthomochronous,expgrowthfast,22,3260
independenthomochronous,expgrowthfast,23,2950
independenthomochronous,expgrowthfast,24,3107
independenthomochronous,expgrowthfast,25,3056
independenthomochronous,expgrowthfast,26,2957
independenthomochronous,expgrowthfast,27,3364
independenthomochronous,expgrowthfast,28,2967
independenthomochronous,expgrowthfast,29,3130
independenthomochronous,expgrowthfast,30,3010
independenthomochronous,expgrowthfast,31,3163
independenthomochronous,expgrowthfast,32,3129
independenthomochronous,expgrowthfast,33,3040
independenthomochronous,expgrowthfast,34,2897
independenthomochronous,expgrowthfast,35,2923
independenthomochronous,expgrowthfast,36,3138
independenthomochronous,expgrowthfast,37,3207
independenthomochronous,expgrowthfast,38,2722
independenthomochronous,expgrowthfast,39,3141
independenthomochronous,expgrowthfast,40,3097
independenthomochronous,expgrowthfast,41,3235
independenthomochronous,expgrowthfast,42,3095
independenthomochronous,expgrowthfast,43,3127
independenthomochronous,expgrowthfast,44,3140
independenthomochronous,expgrowthfast,45,3025
independenthomochronous,expgrowthfast,46,3146
independenthomochronous,expgrowthfast,47,3265
independenthomochronous,expgrowthfast,48,3054
independenthomochronous,expgrowthfast,49,3066
independenthomochronous,expgrowthfast,50,2908
independenthomochronous,expgrowthfast,51,2993
independenthomochronous,expgrowthfast,52,3061
independenthomochronous,expgrowthfast,53,3197
independenthomochronous,expgrowthfast,54,3154
independenthomochronous,expgrowthfast,55,2906
independenthomochronous,expgrowthfast,56,3076
independenthomochronous,expgrowthfast,57,3268
independenthomochronous,expgrowthfast,58,2922
independenthomochronous,expgrowthfast,59,3432
independenthomochronous,expgrowthfast,60,3047
independenthomochronous,expgrowthfast,61,2785
independenthomochronous,expgrowthfast,62,2909
independenthomochronous,expgrowthfast,63,3005
independenthomochronous,expgrowthfast,64,2995
independenthomochronous,expgrowthfast,65,3019
independenthomochronous,expgrowthfast,66,2959
independenthomochronous,expgrowthfast,67,3168
independenthomochronous,expgrowthfast,68,3331
independenthomochronous,expgrowthfast,69,3091
independenthomochronous,expgrowthfast,70,2990
independenthomochronous,expgrowthfast,71,3362
independenthomochronous,expgrowthfast,72,2964
independenthomochronous,expgrowthfast,73,3193
independenthomochronous,expgrowthfast,74,3252
independenthomochronous,expgrowthfast,75,3033
independenthomochronous,expgrowthfast,76,3171
independenthomochronous,expgrowthfast,77,3105
independenthomochronous,expgrowthfast,78,3037
independenthomochronous,expgrowthfast,79,3164
independenthomochronous,expgrowthfast,80,3123
independenthomochronous,expgrowthfast,81,2897
independenthomochronous,expgrowthfast,82,3149
independenthomochronous,expgrowthfast,83,2984
independenthomochronous,expgrowthfast,84,2979
independenthomochronous,expgrowthfast,85,3221
independenthomochronous,expgrowthfast,86,3191
independenthomochronous,expgrowthfast,87,3132
independenthomochronous,expgrowthfast,88,3163
independenthomochronous,expgrowthfast,89,3191
independenthomochronous,expgrowthfast,90,3054
independenthomochronous,expgrowthfast,91,2918
independenthomochronous,expgrowthfast,92,2946
independenthomochronous,expgrowthfast,93,2935
independenthomochronous,expgrowthfast,94,3280
independenthomochronous,expgrowthfast,95,3296
independenthomochronous,expgrowthfast,96,3291
independenthomochronous,expgrowthfast,97,2726
independenthomochronous,expgrowthfast,98,3242
independenthomochronous,expgrowthfast,99,2897
independenthomochronous,expgrowthslow,0,4189
independenthomochronous,expgrowthslow,1,3794
independenthomochronous,expgrowthslow,2,3564
independenthomochronous,expgrowthslow,3,4096
independenthomochronous,expgrowthslow,4,3959
independenthomochronous,expgrowthslow,5,4222
independenthomochronous,expgrowthslow,6,3917
independenthomochronous,expgrowthslow,7,4424
independenthomochronous,expgrowthslow,8,3935
independenthomochronous,expgrowthslow,9,3832
independenthomochronous,expgrowthslow,10,3803
independenthomochronous,expgrowthslow,11,4083
independenthomochronous,expgrowthslow,12,4281
independenthomochronous,expgrowthslow,13,4236
independenthomochronous,expgrowthslow,14,4181
independenthomochronous,expgrowthslow,15,3846
independenthomochronous,expgrowthslow,16,4317
independenthomochronous,expgrowthslow,17,4078
independenthomochronous,expgrowthslow,18,3996
independenthomochronous,expgrowthslow,19,3838
independenthomochronous,expgrowthslow,20,4095
independenthomochronous,expgrowthslow,21,4143
independenthomochronous,expgrowthslow,22,3849
independenthomochronous,expgrowthslow,23,4016
independenthomochronous,expgrowthslow,24,4311
independenthomochronous,expgrowthslow,25,4060
independenthomochronous,expgrowthslow,26,3862
independenthomochronous,expgrowthslow,27,4217
independenthomochronous,expgrowthslow,28,4003
independenthomochronous,expgrowthslow,29,4177
independenthomochronous,expgrowthslow,30,4003
independenthomochronous,expgrowthslow,31,3948
independenthomochronous,expgrowthslow,32,4073
independenthomochronous,expgrowthslow,33,4042
independenthomochronous,expgrowthslow,34,3895
independenthomochronous,expgrowthslow,35,3815
independenthomochronous,expgrowthslow,36,3949
independenthomochronous,expgrowthslow,37,4026
independenthomochronous,expgrowthslow,38,3946
independenthomochronous,expgrowthslow,39,4212
independenthomochronous,expgrowthslow,40,4210
independenthomochronous,expgrowthslow,41,4275
independenthomochronous,expgrowthslow,42,3850
independenthomochronous,expgrowthslow,43,3642
independenthomochronous,expgrowthslow,44,3968
